"","E71550000","E71498000","E71383000","E71350001","E71300000","E71250000","E71200000"
"1985-01-01",0.00809900000000008,0.0158854592391304,0.0120648210394616,0.0179566563467493,0.0257799999999999,0.0218813905930471,0.0372475247524753
"1985-01-02",0.00896600000000003,0.0132669157608696,0.0154242163609266,0.021826625386997,0.0354699949999999,0.0386503067484663,0.0335049504950495
"1985-01-03",0.009544,0.0123672391304348,0.0196118148632667,0.0302786377708979,0.0396999950000001,0.0415132924335377,0.0326732673267327
"1985-01-04",0.010122,0.0114958994565217,0.0200379561867328,0.0321981424148607,0.0330699999999999,0.0284253578732105,0.0245544554455446
"1985-01-05",0.0113399999999999,0.0102425135869566,0.0188237172720247,0.0287925696594427,0.02542,0.0159918200408997,0.0213861386138614
"1985-01-06",0.0119800000000001,0.00983913315217388,0.0160735109223347,0.0219814241486067,0.0206,0.0132924335378324,0.0201980198019802
"1985-01-07",0.0119800000000001,0.00983913315217388,0.0143581342204253,0.0179566563467493,0.01892,0.0100204498977505,0.0198019801980198
"1985-01-08",0.0113399999999999,0.0114958994565217,0.0128220565369845,0.0164086687306502,0.0164800000000001,0.00777096114519438,0.0198019801980198
"1985-01-09",0.0106999999999999,0.0137273152173913,0.011902810071591,0.0156346749226006,0.01732,0.00359918200408993,0.0194059405940594
"1985-01-10",0.00983299999999998,0.0117110679347827,0.0111879063352234,0.0148606811145511,0.01508,0.00341513292433548,0.0178217821782178
"1985-01-11",0.00896600000000003,0.0102425135869566,0.0103516726843205,0.0137770897832816,0.01352,0.00323108384458082,0.017029702970297
"1985-01-12",0.00838800000000006,0.00944301086956512,0.00962846388304173,0.0123065015479875,0.01376,0.00304703476482615,0.0162376237623763
"1985-01-13",0.00838800000000006,0.00867267119565218,0.00915298869041115,0.0107739938080496,0.0134000000000001,0.00304703476482615,0.017029702970297
"1985-01-14",0.00781000000000009,0.00793175815217384,0.00937472614637525,0.0111919504643962,0.01424,0.00278118609406963,0.0245544554455446
"1985-01-15",0.00668599999999997,0.00793175815217384,0.00956310381269931,0.0110526315789474,0.0217750000000001,0.00269938650306756,0.0213861386138614
"1985-01-16",0.00612400000000002,0.00829851902173906,0.0125291832662253,0.0164086687306502,0.0294000000000001,0.00566462167689163,0.0428613861386138
"1985-01-17",0.00584300000000004,0.0108611249999999,0.0146013580555171,0.0219814241486067,0.03583,0.0191411042944785,0.040990099009901
"1985-01-18",0.00696699999999995,0.0119280135869566,0.0157236205326412,0.0276780185758514,0.0255399999999999,0.0113292433537833,0.0233663366336634
"1985-01-19",0.0075289999999999,0.0110709266304347,0.0138238293103794,0.0241486068111456,0.01746,0.00955010224948882,0.0203960396039604
"1985-01-20",0.009544,0.00905417934782604,0.0124473447826616,0.0174922600619194,0.01508,0.011002044989775,0.0188118811881188
"1985-01-21",0.010122,0.00739555434782613,0.0114030059817094,0.0136222910216719,0.01376,0.0118609406952965,0.0178217821782178
"1985-01-22",0.009544,0.00687618206521745,0.0103636318955356,0.0116099071207429,0.0130399999999999,0.00654396728016371,0.0168316831683168
"1985-01-23",0.00896600000000003,0.00793175815217384,0.00936291699843972,0.0106346749226007,0.0121100000000001,0.00484662576687112,0.0162376237623763
"1985-01-24",0.00867700000000005,0.00793175815217384,0.00885894932105247,0.00990712074303413,0.0116499999999999,0.00464212678936615,0.0158415841584159
"1985-01-25",0.00838800000000006,0.00757242391304347,0.00854399623403079,0.00913312693498458,0.011995,0.00421267893660526,0.0174257425742574
"1985-01-26",0.0075289999999999,0.00757242391304347,0.00796877025939491,0.00882352941176467,0.01234,0.00380368098159511,0.0162376237623763
"1985-01-27",0.00668599999999997,0.00687618206521745,0.00755496560193825,0.00913312693498458,0.0110749999999999,0.00341513292433548,0.0142574257425743
"1985-01-28",0.00668599999999997,0.00653935326086952,0.00734827340319977,0.00851393188854499,0.0107299999999999,0.00253578732106341,0.0142574257425743
"1985-01-29",0.00612400000000002,0.00757242391304347,0.00658848657924405,0.00804953560371513,0.00992499999999996,0.00193251533742322,0.0152475247524753
"1985-01-30",0.00584300000000004,0.00793175815217384,0.00632274151591994,0.00804953560371513,0.00957999999999992,0.0015296523517383,0.0150495049504951
"1985-01-31",0.00584300000000004,0.00757242391304347,0.00633391001813299,0.00773993808049545,0.0101549999999999,0.00101431492842541,0.0142574257425743
"1985-02-01",0.00556200000000007,0.00704742934782598,0.0201171366594359,0.00789473684210518,0.0134000000000001,0.000773006134969334,0.0223762376237624
"1985-02-02",0.00640499999999999,0.00653935326086952,0.0199479392624728,0.00851393188854499,0.0237799999999999,0.00380368098159511,0.0351683168316832
"1985-02-03",0.0075289999999999,0.00811421195652184,0.0196095444685467,0.0164086687306502,0.02447,0.0090797546012269,0.0434851485148515
"1985-02-04",0.009544,0.0106531222826087,0.018763557483731,0.0207430340557275,0.024125,0.0155828220858896,0.036
"1985-02-05",0.0123,0.0125895108695653,0.0175791757049892,0.021671826625387,0.02424,0.00893660531697349,0.0301782178217822
"1985-02-06",0.0135799999999999,0.0132669157608696,0.0157180043383949,0.0232198142414861,0.0214300000000001,0.00554192229038852,0.0231683168316832
"1985-02-07",0.0150699999999999,0.0117110679347827,0.0136225596529285,0.0191950464396284,0.01928,0.0040081799591003,0.0194059405940594
"1985-02-08",0.0166299999999999,0.0106531222826087,0.0113232104121475,0.0145510835913312,0.0161,0.00464212678936615,0.0178217821782178
"1985-02-09",0.01824,0.0106531222826087,0.00954446854663771,0.0116099071207429,0.0116499999999999,0.00531697341513282,0.017029702970297
