"","E73350000","E73300000","E73330000"
"1970-01-01",0.00686666666666658,0.010091743119266,0.009914255091104
"1970-01-02",0.00839999999999996,0.0108409785932722,0.00906752411575562
"1970-01-03",0.00760000000000005,0.0115902140672783,0.0120042872454449
"1970-01-04",0.00973333333333337,0.0160550458715596,0.0109324758842444
"1970-01-05",0.00893333333333324,0.0108409785932722,0.0104287245444801
"1970-01-06",0.00839999999999996,0.0115902140672783,0.009914255091104
"1970-01-07",0.00946666666666673,0.0206422018348624,0.0140407288317257
"1970-01-08",0.00893333333333324,0.0296636085626911,0.015005359056806
"1970-01-09",0.054,0.0902140672782874,0.0981779206859592
"1970-01-10",0.0453333333333332,0.0561162079510704,0.0546623794212218
"1970-01-11",0.0304666666666666,0.0382262996941896,0.0382636655948554
"1970-01-12",0.0164,0.0275229357798166,0.0222936763129689
"1970-01-13",0.0136000000000001,0.0195718654434252,0.0173633440514469
"1970-01-14",0.01,0.0160550458715596,0.0144694533762058
"1970-01-15",0.0104,0.0160550458715596,0.0140407288317257
"1970-01-16",0.00946666666666673,0.0152905198776758,0.0129689174705252
"1970-01-17",0.00839999999999996,0.0145871559633028,0.0114683815648446
"1970-01-18",0.00733333333333341,0.0115902140672783,0.0109324758842444
"1970-01-19",0.00639999999999996,0.010091743119266,0.009914255091104
"1970-01-20",0.00686666666666658,0.0138379204892967,0.0129689174705252
"1970-01-21",0.00733333333333341,0.0115902140672783,0.009914255091104
"1970-01-22",0.00570000000000004,0.010091743119266,0.0129689174705252
"1970-01-23",0.00546666666666673,0.00966360856269111,0.009914255091104
"1970-01-24",0.00570000000000004,0.00837920489296629,0.00822079314040725
"1970-01-25",0.00523333333333342,0.00837920489296629,0.00822079314040725
"1970-01-26",0.00483333333333325,0.010091743119266,0.00906752411575562
"1970-01-27",0.00616666666666665,0.0195718654434252,0.0140407288317257
"1970-01-28",0.00786666666666669,0.0145871559633028,0.0120042872454449
"1970-01-29",0.00639999999999996,0.010091743119266,0.009914255091104
"1970-01-30",0.00593333333333335,0.00837920489296629,0.00906752411575562
"1970-01-31",0.00499999999999989,0.00837920489296629,0.00863879957127556
"1970-02-01",0.00593333333333335,0.0130886850152905,0.009914255091104
"1970-02-02",0.00839999999999996,0.0206422018348624,0.0129689174705252
"1970-02-03",0.0112000000000001,0.0195718654434252,0.0173633440514469
"1970-02-04",0.0124,0.0160550458715596,0.015005359056806
"1970-02-05",0.00946666666666673,0.0130886850152905,0.0120042872454449
"1970-02-06",0.00813333333333333,0.0115902140672783,0.0109324758842444
"1970-02-07",0.00710000000000011,0.0145871559633028,0.0120042872454449
"1970-02-08",0.00946666666666673,0.0160550458715596,0.0120042872454449
"1970-02-09",0.0167999999999999,0.0206422018348624,0.0173633440514469
"1970-02-10",0.014,0.0130886850152905,0.0135048231511254
"1970-02-11",0.0092000000000001,0.0115902140672783,0.0109324758842444
"1970-02-12",0.00686666666666658,0.010091743119266,0.009914255091104
"1970-02-13",0.00639999999999996,0.00837920489296629,0.009914255091104
"1970-02-14",0.00593333333333335,0.0066666666666666,0.00822079314040725
"1970-02-15",0.00499999999999989,0.00623853211009173,0.00779206859592718
"1970-02-16",0.00483333333333325,0.0066666666666666,0.00779206859592718
"1970-02-17",0.00499999999999989,0.00880733944954137,0.00822079314040725
"1970-02-18",0.00593333333333335,0.0160550458715596,0.0109324758842444
"1970-02-19",0.01,0.0275229357798166,0.0173633440514469
"1970-02-20",0.018,0.0255351681957185,0.0185423365487674
"1970-02-21",0.01,0.0224770642201835,0.015005359056806
"1970-02-22",0.00839999999999996,0.0186544342507646,0.0129689174705252
"1970-02-23",0.00663333333333327,0.00880733944954137,0.00948553054662371
"1970-02-24",0.00523333333333342,0.00795107033639142,0.00906752411575562
"1970-02-25",0.00499999999999989,0.00752293577981655,0.00779206859592718
"1970-02-26",0.00416666666666665,0.0066666666666666,0.00779206859592718
"1970-02-27",0.00416666666666665,0.0066666666666666,0.00737406216505887
"1970-02-28",0.004,0.0066666666666666,0.00652733118971072
"1970-03-01",0.00366666666666671,0.00623853211009173,0.00652733118971072
"1970-03-02",0.00366666666666671,0.00581039755351687,0.00652733118971072
"1970-03-03",0.00333333333333341,0.00556574923547393,0.00652733118971072
"1970-03-04",0.00350000000000006,0.00532110091743121,0.00568060021436234
"1970-03-05",0.00333333333333341,0.00532110091743121,0.00568060021436234
"1970-03-06",0.00333333333333341,0.00532110091743121,0.00568060021436234
"1970-03-07",0.00333333333333341,0.00556574923547393,0.00568060021436234
"1970-03-08",0.00333333333333341,0.00556574923547393,0.00568060021436234
"1970-03-09",0.0043333333333333,0.00581039755351687,0.00822079314040725
"1970-03-10",0.00449999999999995,0.00623853211009173,0.00737406216505887
"1970-03-11",0.0116000000000001,0.00532110091743121,0.00822079314040725
"1970-03-12",0.0116000000000001,0.0175840978593271,0.012433011789925
"1970-03-13",0.01,0.0123394495412843,0.0109324758842444
"1970-03-14",0.00946666666666673,0.0244648318042813,0.0168274383708467
"1970-03-15",0.00813333333333333,0.0186544342507646,0.0135048231511254
"1970-03-16",0.00786666666666669,0.0123394495412843,0.0120042872454449
"1970-03-17",0.01,0.0115902140672783,0.0120042872454449
"1970-03-18",0.00893333333333324,0.0130886850152905,0.0120042872454449
"1970-03-19",0.0092000000000001,0.0175840978593271,0.0144694533762058
"1970-03-20",0.012,0.0160550458715596,0.0156484458735262
"1970-03-21",0.0127999999999999,0.0275229357798166,0.0197213290460878
"1970-03-22",0.0334666666666668,0.046177370030581,0.0391211146838157
