"","E65094500","E65095000","E65135000"
"1977-01-01",0.0196875000000001,0.0113026819923372,0.0119933884297521
"1977-01-02",0.0191666666666666,0.0106590038314176,0.0171107438016529
"1977-01-03",0.0176041666666666,0.0110881226053641,0.0146611570247934
"1977-01-04",0.0181249999999999,0.0136858237547892,0.0236033057851239
"1977-01-05",0.02125,0.0247011494252873,0.0490909090909091
"1977-01-06",0.0228229166666667,0.0241455938697317,0.0571570247933884
"1977-01-07",0.0254791666666667,0.0205057471264367,0.0432727272727274
"1977-01-08",0.0244166666666668,0.0190804597701149,0.0391404958677686
"1977-01-09",0.0249479166666666,0.0188505747126437,0.0378512396694215
"1977-01-10",0.0270729166666666,0.0186206896551724,0.034710743801653
"1977-01-11",0.0265416666666667,0.0220536398467432,0.032
"1977-01-12",0.0222916666666666,0.0209808429118774,0.028793388429752
"1977-01-13",0.0191666666666666,0.0186206896551724,0.0274049586776859
"1977-01-14",0.0181249999999999,0.0295862068965518,0.024892561983471
"1977-01-15",0.0202083333333334,0.0299080459770116,0.0232066115702478
"1977-01-16",0.0191666666666666,0.0217547892720307,0.0232066115702478
"1977-01-17",0.0186458333333333,0.0179310344827586,0.0239834710743803
"1977-01-18",0.0287083333333333,0.0401149425287357,0.0355041322314049
"1977-01-19",0.0591250000000001,0.096551724137931,0.0747603305785125
"1977-01-20",0.0792708333333334,0.103448275862069,0.0690909090909091
"1977-01-21",0.056,0.0946360153256705,0.0582975206611571
"1977-01-22",0.0349999999999999,0.0816091954022988,0.0563966942148761
"1977-01-23",0.0298125,0.0704980842911878,0.052793388429752
"1977-01-24",0.0265416666666667,0.0603448275862069,0.0468429752066115
"1977-01-25",0.0254791666666667,0.0522605363984674,0.0365619834710744
"1977-01-26",0.0244166666666668,0.0442145593869732,0.0301818181818181
"1977-01-27",0.0202083333333334,0.03683908045977,0.0252561983471074
"1977-01-28",0.0222916666666666,0.0319195402298851,0.0203636363636364
"1977-01-29",0.02125,0.0289425287356322,0.0187272727272727
"1977-01-30",0.0202083333333334,0.0254712643678161,0.0185454545454546
"1977-01-31",0.0202083333333334,0.0212183908045978,0.018909090909091
"1977-02-01",0.0202083333333334,0.0193180076628352,0.0192727272727273
"1977-02-02",0.0196875000000001,0.0229501915708812,0.0285950413223142
"1977-02-03",0.0260104166666666,0.0346819923371648,0.0395702479338842
"1977-02-04",0.0309166666666667,0.040919540229885,0.0393553719008264
"1977-02-05",0.0414375,0.0657088122605365,0.0465289256198347
"1977-02-06",0.044875,0.0896551724137931,0.0714049586776859
"1977-02-07",0.0337499999999999,0.0975478927203066,0.113933884297521
"1977-02-08",0.0309166666666667,0.0931034482758621,0.132363636363636
"1977-02-09",0.0270729166666666,0.085823754789272,0.127471074380165
"1977-02-10",0.0260104166666666,0.0767049808429119,0.111702479338843
"1977-02-11",0.0238854166666667,0.0704980842911878,0.0909917355371901
"1977-02-12",0.0233541666666666,0.0651340996168583,0.0747603305785125
"1977-02-13",0.0191666666666666,0.0560153256704981,0.0642975206611571
"1977-02-14",0.016,0.0479693486590038,0.0575371900826447
"1977-02-15",0.0149166666666667,0.040919540229885,0.0452727272727274
"1977-02-16",0.0149166666666667,0.036325674329502,0.0361322314049586
"1977-02-17",0.0149166666666667,0.0329348659003832,0.0315702479338844
"1977-02-18",0.0149166666666667,0.0286206896551724,0.028793388429752
"1977-02-19",0.0149166666666667,0.0247011494252873,0.0262148760330578
"1977-02-20",0.0149166666666667,0.022352490421456,0.0232066115702478
"1977-02-21",0.0186458333333333,0.0200306513409962,0.0220165289256198
"1977-02-22",0.0196875000000001,0.0193180076628352,0.0205454545454546
"1977-02-23",0.0202083333333334,0.018390804597701,0.0203636363636364
"1977-02-24",0.0181249999999999,0.0172413793103448,0.018909090909091
"1977-02-25",0.016,0.0177011494252874,0.0185454545454546
"1977-02-26",0.0149166666666667,0.0167816091954023,0.0185454545454546
"1977-02-27",0.014375,0.0163371647509578,0.0181818181818181
"1977-02-28",0.014375,0.0156704980842912,0.0172892561983471
"1977-03-01",0.0170833333333333,0.0150038314176246,0.0171107438016529
"1977-03-02",0.0222916666666666,0.0340996168582375,0.028
"1977-03-03",0.0270729166666666,0.0295862068965518,0.0256198347107437
"1977-03-04",0.0292604166666666,0.0264980842911877,0.0260165289256198
"1977-03-05",0.0337499999999999,0.0358122605363984,0.028793388429752
"1977-03-06",0.0375000000000001,0.0311954022988505,0.027801652892562
"1977-03-07",0.0320208333333334,0.0373524904214559,0.0391404958677686
"1977-03-08",0.0298125,0.0302298850574714,0.0435537190082644
"1977-03-09",0.0260104166666666,0.0264980842911877,0.0341157024793388
"1977-03-10",0.0249479166666666,0.0247011494252873,0.028793388429752
"1977-03-11",0.0298125,0.023249042145594,0.0260165289256198
"1977-03-12",0.0298125,0.0252145593869733,0.0295867768595042
"1977-03-13",0.0260104166666666,0.0247011494252873,0.0260165289256198
"1977-03-14",0.0233541666666666,0.0212183908045978,0.022809917355372
"1977-03-15",0.0238854166666667,0.0205057471264367,0.0224132231404959
"1977-03-16",0.0270729166666666,0.022352490421456,0.02
"1977-03-17",0.0238854166666667,0.025984674329502,0.0218181818181817
"1977-03-18",0.0202083333333334,0.0235478927203066,0.0201818181818181
"1977-03-19",0.0165416666666667,0.0195555555555555,0.0192727272727273
"1977-03-20",0.0149166666666667,0.0179310344827586,0.0181818181818181
"1977-03-21",0.0149166666666667,0.0193180076628352,0.0180033057851239
"1977-03-22",0.0170833333333333,0.0226513409961686,0.0201818181818181
"1977-03-23",0.0303645833333333,0.0226513409961686,0.0214545454545454
