"","E84820000","E84853000","E84800000","E84949000"
"1985-01-01",0.0171482889733841,0.0415774647887324,0.0517609709993663,0.024679668523677
"1985-01-02",0.0934980988593157,0.0701408450704226,0.0884924304325139,0.0402506963788301
"1985-01-03",0.0551711026615969,0.0389295774647886,0.0600659222276949,0.0186211699164345
"1985-01-04",0.0510646387832701,0.0270985915492958,0.0525372964189832,0.0114373259052925
"1985-01-05",0.0510646387832701,0.0143098591549295,0.0479123107488457,0.0114373259052925
"1985-01-06",0.046958174904943,0.0309859154929577,0.0514271153156909,0.00688579387186627
"1985-01-07",0.0479847908745248,0.0442253521126761,0.0573503156336501,0.00994428969359329
"1985-01-08",0.0691825095057035,0.0701408450704226,0.0751752063441766,0.0186211699164345
"1985-01-09",0.0500380228136883,0.0283943661971831,0.0519740974982545,0.00892479108635102
"1985-01-10",0.046958174904943,0.0152394366197184,0.0451577015757072,0.00484679665738152
"1985-01-11",0.042300380228137,0.00783098591549303,0.0407763438272937,0.00356545961002785
"1985-01-12",0.0376425855513307,0.004030985915493,0.037849107863801,0.00279665738161561
"1985-01-13",0.0315209125475284,0.00325352112676058,0.0356740364092458,0.00228412256267418
"1985-01-14",0.0385741444866921,0.0152394366197184,0.0425473540549579,0.00407799442896928
"1985-01-15",0.0490114068441065,0.00467605633802815,0.0422002092931617,0.00586629526462401
"1985-01-16",0.0520912547528518,0.0143098591549295,0.0460490178285442,0.00407799442896928
"1985-01-17",0.0432319391634981,0.00383661971830995,0.0394389853677966,0.00305292479108643
"1985-01-18",0.0385741444866921,0.00286478873239426,0.037503070022352,0.00215598885793877
"1985-01-19",0.0332699619771863,0.00217887323943655,0.0355960354055396,0.00164345403899713
"1985-01-20",0.0306463878326997,0.0018704225352113,0.0346242056700938,0.00125905292479112
"1985-01-21",0.0281558935361217,0.0016647887323944,0.0337639077502185,0.00100278551532029
"1985-01-22",0.025190114068441,0.00145915492957749,0.0328227890921404,0.000940111420612899
"1985-01-23",0.0229657794676805,0.00125352112676058,0.0326498286321817,0.00279665738161561
"1985-01-24",0.0332699619771863,0.004030985915493,0.0589048126791163,0.0815041782729806
"1985-01-25",0.0615589353612167,0.0143098591549295,0.0640926629285994,0.0573259052924791
"1985-01-26",0.0541444866920151,0.00783098591549303,0.049915958273179,0.0234679665738162
"1985-01-27",0.0479847908745248,0.00383661971830995,0.0434428856886511,0.0121838440111421
"1985-01-28",0.0460266159695817,0.0429014084507042,0.105323414083089,0.186350974930362
"1985-01-29",0.063726235741445,0.079774647887324,0.0874683698465883,0.0542061281337047
"1985-01-30",0.0510646387832701,0.0415774647887324,0.0692479479415262,0.0510863509749304
"1985-01-31",0.042300380228137,0.0296901408450705,0.0588751133252643,0.0387186629526461
"1985-02-01",0.0500380228136883,0.0219154929577465,0.0556337730584846,0.0295264623955431
"1985-02-02",0.0887072243346008,0.0550422535211268,0.0839731945287596,0.0479665738161561
"1985-02-03",0.065893536121673,0.0309859154929577,0.0665464284852599,0.0402506963788301
"1985-02-04",0.138022813688213,0.181830985915493,0.175183612762372,0.158774373259053
"1985-02-05",0.104486692015209,0.0975774647887324,0.10732741320703,0.0604456824512534
"1985-02-06",0.0759125475285172,0.0469295774647887,0.0729335405501943,0.0325905292479109
"1985-02-07",0.066977186311787,0.0296901408450705,0.0604448761555823,0.0198328690807799
"1985-02-08",0.0593916349809887,0.0206197183098591,0.0536496522667487,0.0151699164345405
"1985-02-09",0.0561977186311786,0.0143098591549295,0.0491460185616506,0.010690807799443
"1985-02-10",0.0531178707224336,0.0415774647887324,0.0598529011351621,0.0166629526462396
"1985-02-11",0.0561977186311786,0.0654929577464789,0.0712414870340643,0.0234679665738162
"1985-02-12",0.0510646387832701,0.0389295774647886,0.0596008333483751,0.0210445682451252
"1985-02-13",0.0971482889733841,0.113633802816901,0.114326238397697,0.0721448467966574
"1985-02-14",0.804182509505703,0.682253521126761,0.671265611909452,0.635654596100279
"1985-02-15",0.948669201520913,0.742816901408451,0.780929860389403,0.814484679665738
"1985-02-16",0.237262357414449,0.203239436619718,0.230733214570767,0.226991643454039
"1985-02-17",0.159733840304183,0.119718309859155,0.140469163759604,0.0933147632311977
"1985-02-18",0.0971482889733841,0.0863098591549296,0.101914108146838,0.0627855153203343
"1985-02-19",0.0828136882129278,0.0748732394366196,0.0907775090228469,0.0526462395543175
"1985-02-20",0.148764258555133,0.11769014084507,0.137361240158722,0.095682451253482
"1985-02-21",0.217490494296578,0.192394366197183,0.185050203768456,0.102785515320334
"1985-02-22",0.192167300380228,0.177605633802817,0.179234095287423,0.124289693593315
"1985-02-23",0.108250950570342,0.0955774647887324,0.104925670003955,0.0510863509749304
"1985-02-24",0.065893536121673,0.0701408450704226,0.0806113650181588,0.0402506963788301
"1985-02-25",0.0572243346007604,0.0550422535211268,0.0709513024869426,0.0341225626740946
"1985-02-26",0.0500380228136883,0.0415774647887324,0.061670071684947,0.025891364902507
"1985-02-27",0.0479847908745248,0.0389295774647886,0.058717486007783,0.0210445682451252
"1985-02-28",0.0441634980988592,0.0296901408450705,0.0535979573930028,0.0186211699164345
"1985-03-01",0.0404372623574145,0.0232112676056337,0.0494092830121404,0.0159164345403899
"1985-03-02",0.035893536121673,0.0180281690140844,0.0455854074928261,0.0136768802228413
"1985-03-03",0.0306463878326997,0.0133802816901409,0.0445282444744737,0.0210445682451252
"1985-03-04",0.0332699619771863,0.0124507042253521,0.0456441720657708,0.0234679665738162
"1985-03-05",0.0281558935361217,0.0115211267605633,0.0416583061238383,0.0159164345403899
