"","E70500000","E70300000","E70200000","E70100000","E86100000","E86160000"
"1977-01-01",0.00868000000000002,0.00673504273504277,0.00741134751773043,0.00823639774859286,0.00668681318681319,0.00368750000000007
"1977-01-02",0.00811090909090906,0.00817094017094022,0.00741134751773043,0.00823639774859286,0.00911538461538464,0.00351785714285713
"1977-01-03",0.00981818181818173,0.0118803418803419,0.00943262411347523,0.0108255159474671,0.0139230769230769,0.00422321428571437
"1977-01-04",0.0223636363636364,0.0680341880341879,0.0152836879432625,0.121763602251407,0.0416263736263736,0.0193749999999999
"1977-01-05",0.0233454545454546,0.0364102564102564,0.0900709219858156,0.072232645403377,0.0597802197802197,0.0305357142857143
"1977-01-06",0.0144,0.0185470085470085,0.0382978723404255,0.0390243902439025,0.0335714285714286,0.0173214285714285
"1977-01-07",0.0113454545454545,0.0127350427350428,0.0226950354609929,0.024953095684803,0.0198241758241757,0.0134821428571428
"1977-01-08",0.00981818181818173,0.0118803418803419,0.0157092198581561,0.0189493433395873,0.0136593406593406,0.0102678571428572
"1977-01-09",0.00924909090909098,0.0097435897435898,0.011985815602837,0.0156848030018761,0.0113186813186814,0.00852678571428567
"1977-01-10",0.0105818181818182,0.0131623931623932,0.0109574468085107,0.0156848030018761,0.0123406593406594,0.00713392857142847
"1977-01-11",0.0113454545454545,0.0114529914529915,0.01,0.0148780487804878,0.0113186813186814,0.00594642857142857
"1977-01-12",0.0151636363636363,0.0110256410256411,0.00854609929078021,0.0127767354596622,0.00983516483516489,0.00480357142857146
"1977-01-13",0.0113454545454545,0.0114529914529915,0.0106382978723405,0.0127767354596622,0.00934065934065931,0.00548214285714277
"1977-01-14",0.0144,0.0171794871794873,0.00914893617021284,0.028517823639775,0.00798901098901106,0.00741071428571427
"1977-01-15",0.0144,0.0214529914529915,0.0160992907801418,0.0221388367729831,0.00911538461538464,0.00880357142857147
"1977-01-16",0.036,0.0328205128205128,0.0471631205673759,0.0583489681050657,0.0095879120879121,0.0144642857142858
"1977-01-17",0.0253090909090909,0.0593162393162394,0.0723404255319149,0.0677298311444652,0.0462472527472528,0.045625
"1977-01-18",0.134545454545455,0.111111111111111,0.0762411347517731,0.182551594746717,0.0567582417582417,0.0687500000000001
"1977-01-19",0.199272727272727,0.0846153846153845,0.145744680851064,0.184427767354597,0.0879120879120878,0.0571428571428572
"1977-01-20",0.0781818181818181,0.0465811965811966,0.0680851063829788,0.110131332082552,0.0523076923076924,0.0348214285714286
"1977-01-21",0.0534545454545454,0.0328205128205128,0.0390070921985815,0.0752345215759851,0.0358791208791209,0.0241071428571429
"1977-01-22",0.0330909090909091,0.0295726495726496,0.0312056737588653,0.0433395872420264,0.0241318681318681,0.0219642857142857
"1977-01-23",0.0243272727272728,0.0153846153846153,0.0242907801418439,0.0335834896810507,0.0209670329670331,0.0206249999999999
"1977-01-24",0.0184363636363636,0.0223931623931624,0.0199645390070922,0.026641651031895,0.0181098901098902,0.0181249999999999
"1977-01-25",0.0174545454545454,0.0158119658119658,0.0365248226950354,0.072232645403377,0.0793406593406594,0.0137499999999999
"1977-01-26",0.0174545454545454,0.0135897435897436,0.0328014184397163,0.0651031894934333,0.057967032967033,0.0154464285714286
"1977-01-27",0.0461818181818181,0.0118803418803419,0.0203900709219857,0.0390243902439025,0.0486923076923076,0.0125
"1977-01-28",0.0194181818181818,0.0140170940170941,0.0157092198581561,0.026641651031895,0.0307142857142857,0.0161607142857143
"1977-01-29",0.0262909090909091,0.0176068376068377,0.0190780141843971,0.0258911819887431,0.0255879120879121,0.0193749999999999
"1977-01-30",0.0174545454545454,0.0149572649572649,0.0169148936170214,0.0378986866791744,0.0241318681318681,0.0161607142857143
"1977-01-31",0.0136363636363637,0.0114529914529915,0.0136524822695034,0.0313320825515948,0.0201098901098902,0.0127678571428571
"1977-02-01",0.0159272727272728,0.028974358974359,0.0317375886524822,0.0637898686679175,0.0198241758241757,0.0121428571428572
"1977-02-02",0.0549090909090908,0.0205128205128204,0.0328014184397163,0.0378986866791744,0.0212527472527473,0.010892857142857
"1977-02-03",0.0262909090909091,0.0190598290598292,0.0208510638297872,0.0457786116322703,0.0283846153846155,0.00937499999999991
"1977-02-04",0.0184363636363636,0.0417948717948717,0.0232269503546099,0.0664165103189494,0.0128681318681318,0.00797321428571429
"1977-02-05",0.0710909090909091,0.0405982905982907,0.0535460992907801,0.04953095684803,0.0120769230769231,0.00616964285714294
"1977-02-06",0.392545454545455,0.115384615384615,0.0826241134751773,0.116697936210131,0.0420769230769231,0.0711607142857142
"1977-02-07",0.0612727272727274,0.0543589743589743,0.0585106382978724,0.169793621013133,0.0201098901098902,0.0219642857142857
"1977-02-08",0.0374545454545454,0.0537606837606837,0.077659574468085,0.072232645403377,0.0152912087912087,0.00852678571428567
"1977-02-09",0.361818181818182,0.0905982905982905,0.0613475177304965,0.14577861163227,0.0300329670329671,0.0245535714285714
"1977-02-10",0.0781818181818181,0.0625641025641026,0.0737588652482271,0.0898686679174485,0.0331868131868132,0.0284821428571429
"1977-02-11",0.0580000000000001,0.0495726495726496,0.051418439716312,0.0737335834896811,0.0320769230769231,0.032142857142857
"1977-02-12",0.0490909090909091,0.0376068376068377,0.04645390070922,0.193245778611632,0.0215384615384615,0.0173214285714285
"1977-02-13",0.0854545454545454,0.0352136752136751,0.0613475177304965,0.0637898686679175,0.0244230769230769,0.04
"1977-02-14",0.0403636363636364,0.0278632478632479,0.04645390070922,0.0433395872420264,0.0425274725274725,0.0359821428571427
"1977-02-15",0.0301818181818181,0.0263247863247864,0.0328014184397163,0.0303939962476547,0.0324175824175825,0.0284821428571429
"1977-02-16",0.0223636363636364,0.0243589743589743,0.0242907801418439,0.024953095684803,0.0186813186813186,0.010892857142857
"1977-02-17",0.0184363636363636,0.0214529914529915,0.0169148936170214,0.0204502814258911,0.0139230769230769,0.00825000000000009
"1977-02-18",0.0166909090909091,0.0190598290598292,0.0129787234042553,0.017298311444653,0.0144505494505494,0.00769642857142849
"1977-02-19",0.0151636363636363,0.0153846153846153,0.0133333333333334,0.0156848030018761,0.011565934065934,0.0066250000000001
"1977-02-20",0.0144,0.0135897435897436,0.0109574468085107,0.0140712945590995,0.0110714285714286,0.01125
"1977-02-21",0.0136363636363637,0.0101709401709402,0.00971631205673762,0.0127767354596622,0.00983516483516489,0.0223214285714286
"1977-02-22",0.0128727272727274,0.00888888888888895,0.00971631205673762,0.0121200750469044,0.00866483516483507,0.0154464285714286
"1977-02-23",0.0121090909090908,0.00852991452991447,0.00854609929078021,0.0121200750469044,0.00688736263736267,0.0102678571428572
"1977-02-24",0.0113454545454545,0.00817094017094022,0.0102836879432624,0.0108255159474671,0.0141868131868133,0.00741071428571427
"1977-02-25",0.0184363636363636,0.00931623931623937,0.0148936170212766,0.0240150093808631,0.0244230769230769,0.0310714285714286
"1977-02-26",0.0166909090909091,0.0140170940170941,0.0173404255319149,0.026641651031895,0.0232582417582416,0.0332142857142856
"1977-02-27",0.0151636363636363,0.0171794871794873,0.0439716312056737,0.0446529080675422,0.0147307692307692,0.0305357142857143
"1977-02-28",0.0151636363636363,0.02,0.0475177304964538,0.0356472795497185,0.0136593406593406,0.0294642857142857
"1977-03-01",0.0144,0.0243589743589743,0.0301418439716312,0.0196998123827392,0.0307142857142857,0.025982142857143
"1977-03-02",0.0128727272727274,0.0800000000000001,0.0264184397163121,0.072232645403377,0.0486923076923076,0.0284821428571429
"1977-03-03",0.0121090909090908,0.0194871794871796,0.0274822695035462,0.0313320825515948,0.0235494505494505,0.0177678571428572
"1977-03-04",0.0113454545454545,0.0135897435897436,0.0248226950354611,0.0221388367729831,0.0164120879120879,0.0144642857142858
"1977-03-05",0.0113454545454545,0.0131623931623932,0.0186170212765957,0.0181050656660413,0.0139230769230769,0.0106250000000001
"1977-03-06",0.0105818181818182,0.0114529914529915,0.0133333333333334,0.0189493433395873,0.0229670329670331,0.0623214285714286
"1977-03-07",0.0121090909090908,0.0097435897435898,0.0133333333333334,0.0148780487804878,0.0158516483516484,0.036517857142857
"1977-03-08",0.0113454545454545,0.00852991452991447,0.0109574468085107,0.0156848030018761,0.0110714285714286,0.0232142857142856
"1977-03-09",0.0105818181818182,0.00781196581196575,0.01,0.0134146341463415,0.0103296703296702,0.0173214285714285
"1977-03-10",0.00868000000000002,0.0074529914529915,0.00971631205673762,0.0121200750469044,0.00889010989010997,0.0134821428571428
"1977-03-11",0.00811090909090906,0.00709401709401702,0.00886524822695045,0.010187617260788,0.00753846153846149,0.0117857142857143
"1977-03-12",0.00811090909090906,0.0074529914529915,0.00741134751773043,0.00889305816135089,0.00648626373626371,0.0102678571428572
"1977-03-13",0.00868000000000002,0.00709401709401702,0.00741134751773043,0.00759849906191379,0.00668681318681319,0.04
"1977-03-14",0.0447272727272727,0.00817094017094022,0.0173404255319149,0.0121200750469044,0.00776373626373617,0.0284821428571429
"1977-03-15",0.0549090909090908,0.0127350427350428,0.0217375886524822,0.0204502814258911,0.0118131868131868,0.0181249999999999
"1977-03-16",0.038909090909091,0.0153846153846153,0.0136524822695034,0.0164915572232645,0.010576923076923,0.0137499999999999
"1977-03-17",0.0151636363636363,0.0105982905982906,0.0126595744680851,0.0156848030018761,0.0183956043956044,0.0501785714285714
"1977-03-18",0.0121090909090908,0.00852991452991447,0.0113120567375886,0.0114821763602251,0.0108241758241758,0.025982142857143
"1977-03-19",0.0113454545454545,0.00817094017094022,0.00886524822695045,0.00889305816135089,0.00821428571428573,0.0193749999999999
"1977-03-20",0.0121090909090908,0.00817094017094022,0.00943262411347523,0.010187617260788,0.00688736263736267,0.0137499999999999
"1977-03-21",0.0144,0.00781196581196575,0.00971631205673762,0.0181050656660413,0.0110714285714286,0.0106250000000001
"1977-03-22",0.0128727272727274,0.00931623931623937,0.00971631205673762,0.0324577861163227,0.0126043956043955,0.0197321428571429
"1977-03-23",0.0121090909090908,0.0153846153846153,0.0126595744680851,0.026641651031895,0.0113186813186814,0.0219642857142857
"1977-03-24",0.00981818181818173,0.0149572649572649,0.0148936170212766,0.0164915572232645,0.00934065934065931,0.0181249999999999
"1977-03-25",0.125454545454545,0.0145299145299145,0.01,0.026641651031895,0.00708791208791215,0.0127678571428571
"1977-03-26",0.0184363636363636,0.0149572649572649,0.00971631205673762,0.0140712945590995,0.00668681318681319,0.0106250000000001
"1977-03-27",0.0174545454545454,0.0149572649572649,0.00886524822695045,0.0121200750469044,0.00628571428571423,0.00825000000000009
"1977-03-28",0.0374545454545454,0.0593162393162394,0.0819148936170213,0.332082551594747,0.0997252747252748,0.139285714285714
"1977-03-29",0.0287272727272727,0.0755555555555556,0.354609929078014,0.10844277673546,0.0843406593406593,0.186607142857143
"1977-03-30",0.0253090909090909,0.0537606837606837,0.0854609929078014,0.184427767354597,0.0496703296703296,0.210714285714286
"1977-03-31",0.0461818181818181,0.0447863247863247,0.0872340425531914,0.180863039399625,0.0829120879120879,0.0852678571428571
"1977-04-01",0.0612727272727274,0.0370085470085471,0.0939716312056738,0.127016885553471,0.0628021978021978,0.0727678571428572
"1977-04-02",0.0418181818181818,0.0346153846153847,0.0592198581560284,0.0664165103189494,0.0351098901098901,0.0852678571428571
"1977-04-03",0.0374545454545454,0.0417948717948717,0.04822695035461,0.0470919324577861,0.0382692307692307,0.117857142857143
"1977-04-04",0.0316363636363637,0.0317094017094017,0.0382978723404255,0.0399624765478424,0.033956043956044,0.141964285714286
"1977-04-05",0.0204,0.0238461538461539,0.0439716312056737,0.0303939962476547,0.0274450549450549,0.123214285714286
"1977-04-06",0.0184363636363636,0.0194871794871796,0.0280141843971631,0.0240150093808631,0.0209670329670331,0.0973214285714286
"1977-04-07",0.0174545454545454,0.0171794871794873,0.0535460992907801,0.0204502814258911,0.0161318681318681,0.0751785714285713
"1977-04-08",0.0174545454545454,0.0153846153846153,0.0181914893617021,0.0189493433395873,0.0147307692307692,0.0425
"1977-04-09",0.0166909090909091,0.0135897435897436,0.0160992907801418,0.0204502814258911,0.0150109890109891,0.0215178571428571
"1977-04-10",0.0272727272727273,0.0123076923076924,0.023758865248227,0.0651031894934333,0.0158516483516484,0.0189285714285714
"1977-04-11",0.0253090909090909,0.0268376068376068,0.0418439716312056,0.0303939962476547,0.0212527472527473,0.0161607142857143
"1977-04-12",0.0174545454545454,0.0238461538461539,0.0212765957446808,0.0213883677298312,0.0150109890109891,0.0151785714285715
"1977-04-13",0.0151636363636363,0.0185470085470085,0.0173404255319149,0.0181050656660413,0.011565934065934,0.0125
"1977-04-14",0.0136363636363637,0.0153846153846153,0.014468085106383,0.0148780487804878,0.0110714285714286,0.010892857142857
