"","E83675000","E83345000","E83029900","E83660000","E83800002","E83892998","E83900000","E83440000","E83690000","E83250000","E83880000","E83300200","E83892990","E83105000","E83050000","E83677000","E83069900","E83520000"
"1985-01-01",0.0251865671641791,0.00755244755244755,0.00942021604938281,0.0274755927475592,0.0145725662967042,0.0227099018102521,0.027053306451613,0.0190990990990991,0.0152335837563451,0.0248133333333334,0.0538461538461539,0.0193992248062016,0.033249572140349,0.0278965437788019,0.00135987261146497,0.0175123297557951,0.0139103274559194,0.012430357507661
"1985-01-02",0.0237313432835822,0.00671328671328664,0.00942021604938281,0.0180195258019527,0.017453189866983,0.0225463239125923,0.026075564516129,0.00879279279279288,0.018914538071066,0.0208860606060606,0.0557692307692308,0.0226744186046512,0.0305212862791795,0.022426728110599,0.00135987261146497,0.0149059555734399,0.0204360201511335,0.0144794382022473
"1985-01-03",0.0227611940298507,0.00635384615384615,0.0106811728395062,0.0165969316596932,0.0139794967381175,0.0202620022310642,0.0241634677419356,0.00773573573573572,0.0146685989847715,0.0142925454545455,0.0396634615384615,0.0162790697674418,0.0251785496994681,0.0142172811059909,0.00135987261146497,0.0137800800859331,0.0170836272040302,0.0132329724208375
"1985-01-04",0.0217910447761194,0.00563496503496497,0.0111253086419754,0.0137656903765691,0.0119461153943912,0.0179486178233148,0.0232292741935485,0.00696096096096088,0.012291076142132,0.0119487272727272,0.0360096153846154,0.011984496124031,0.0212254714794144,0.0121603686635945,0.00145732484076433,0.01405663387798,0.0139103274559194,0.00944972420837598
"1985-01-05",0.0277985074626865,0.00527552447552448,0.00826311728395068,0.0125523012552302,0.0102516309412861,0.0215247769703268,0.0263999193548388,0.00622222222222213,0.0108515329949239,0.0104833818181818,0.157115384615385,0.00930232558139532,0.0218598890819579,0.0116783410138248,0.00126242038216562,0.0168335932033523,0.0128949622166248,0.00809938712972413
"1985-01-06",0.0270522388059702,0.00527552447552448,0.00754737654320992,0.0137656903765691,0.010166906718631,0.0216406664419075,0.0297301612903227,0.00572972972972963,0.0108515329949239,0.0097805333333334,0.0942307692307693,0.0100290697674419,0.0246511689575823,0.0116783410138248,0.00106751592356691,0.0170138906930921,0.0109931989924432,0.00730362614913171
"1985-01-07",0.0274253731343284,0.00951048951048961,0.0220797839506173,0.0149790794979079,0.0100821824959756,0.019317525531789,0.0244781451612903,0.00984984984984982,0.0108515329949239,0.0119487272727272,0.0480769230769231,0.00988372093023249,0.0246408196907859,0.0239108294930876,0.00106751592356691,0.0171016354477544,0.0116508816120906,0.00793725229826348
"1985-01-08",0.0277985074626865,0.00979720279720286,0.0180736111111111,0.0199163179916317,0.0133017029568754,0.0204777593530672,0.0232292741935485,0.0161561561561561,0.0138463654822334,0.0243072545454546,0.05,0.017267441860465,0.028789433507308,0.0254573732718895,0.00106751592356691,0.0170030972676458,0.0116508816120906,0.0112693054136874
"1985-01-09",0.0263059701492536,0.00895104895104892,0.0156933641975308,0.0141701534170153,0.0150809116326358,0.0191389368490968,0.0226146774193547,0.0104804804804806,0.0158122030456853,0.0123273272727273,0.0405769230769231,0.0162790697674418,0.0230325591059655,0.012655069124424,0.000872611464968198,0.0147970795719214,0.0116508816120906,0.0140583043922369
"1985-01-10",0.016641791044776,0.00671328671328664,0.0180736111111111,0.0114728033472804,0.0122850122850122,0.0168183085033473,0.0220066129032257,0.00800000000000001,0.0127964568527918,0.00943666666666676,0.0387500000000001,0.011984496124031,0.0198033865366996,0.0107518433179723,0.000872611464968198,0.0118370731748605,0.0116508816120906,0.00944972420837598
"1985-01-11",0.0162313432835821,0.00581468531468521,0.0125319444444445,0.0083458856345886,0.00974328560535453,0.0156512006645178,0.0214052419354838,0.00671471471471463,0.0103967512690355,0.00843571515151509,0.0378365384615384,0.00988372093023249,0.0176106902966997,0.00987465437788027,0.00126242038216562,0.010570491669462,0.00921863979848858,0.00777660878447395
