"","E84559800","E84520000","E84249998","E84300000","E84580000","E84551000","E84520010","E84560000","E84598002"
"1987-01-01",0.0257425742574258,0.026842105263158,0.0560934891485809,0.0545015815085159,0.0452554744525548,0.0621862211844242,0.041715976331361,0.0531360946745563,0.0447156451612902
"1987-01-02",0.0264686468646864,0.0351578947368421,0.0501836393989983,0.0522706812652067,0.037992700729927,0.057760166015542,0.0402366863905326,0.0457988165680474,0.034367741935484
"1987-01-03",0.0228382838283829,0.0262105263157895,0.039499165275459,0.0388289537712896,0.0322627737226278,0.0449154192315517,0.0299852071005917,0.0344378698224852,0.0316517741935485
"1987-01-04",0.0221122112211221,0.0252631578947369,0.0340233722871452,0.0323609489051095,0.027956204379562,0.0384086572018436,0.024896449704142,0.028284023668639,0.0255112903225807
"1987-01-05",0.0184818481848186,0.0247921052631579,0.0305676126878129,0.0272530413625305,0.0253284671532847,0.0346111755347063,0.0219526627218936,0.0253254437869823,0.0229706451612903
"1987-01-06",0.0155775577557755,0.0243210526315789,0.0334223706176962,0.0323609489051095,0.0285401459854016,0.037083424816464,0.0196449704142012,0.0258579881656804,0.0225529032258065
"1987-01-07",0.0192079207920792,0.0292631578947369,0.0294657762938231,0.0448036496350366,0.0256204379562044,0.0406134267522109,0.0219526627218936,0.0296449704142012,0.0213096774193549
"1987-01-08",0.0322772277227723,0.0622105263157895,0.0607011686143573,0.079155596107056,0.0518248175182481,0.0701973444238824,0.030621301775148,0.0466272189349113,0.0591829032258064
"1987-01-09",0.035907590759076,0.0882105263157895,0.0401335559265443,0.0437804136253042,0.0335766423357664,0.0529654983888481,0.030621301775148,0.0344378698224852,0.0515906451612904
"1987-01-10",0.0403300330033003,0.0395263157894736,0.0358263772954925,0.0369254257907543,0.0322627737226278,0.0403662267755056,0.0202218934911242,0.0316863905325444,0.0307572580645161
"1987-01-11",0.0425082508250825,0.0281052631578946,0.0575959933222037,0.0545015815085159,0.0754379562043797,0.0896889687402469,0.0319526627218936,0.164497041420118,0.0339117741935484
"1987-01-12",0.0300990099009901,0.0274736842105263,0.0508848080133555,0.050083090024331,0.0537226277372262,0.0619154416673899,0.0231065088757396,0.0733136094674556,0.0272362903225807
"1987-01-13",0.119471947194719,0.104605263157895,0.112153589315526,0.166360097323601,0.10992700729927,0.165142545843978,0.114940828402367,0.150295857988166,0.106504032258065
"1987-01-14",0.0785478547854785,0.0755263157894737,0.102637729549249,0.135726277372263,0.098029197080292,0.156034456042892,0.107840236686391,0.183431952662722,0.0664651612903226
"1987-01-15",0.122112211221122,0.0686578947368421,0.114290484140234,0.147991362530414,0.11985401459854,0.173337255633558,0.100739644970414,0.254437869822485,0.0638433870967743
"1987-01-16",0.0811881188118813,0.0694210526315788,0.100601001669449,0.135726277372263,0.0956934306569344,0.14201182277329,0.0873372781065089,0.164497041420118,0.087093064516129
"1987-01-17",0.0739273927392738,0.0778157894736842,0.0886811352253756,0.111105474452555,0.0877737226277373,0.142278979775734,0.111390532544379,0.162130177514793,0.0739240322580645
"1987-01-18",0.0785478547854785,0.0678947368421052,0.091585976627713,0.155219586374696,0.10492700729927,0.149425032721248,0.081301775147929,0.157396449704142,0.0586698387096773
"1987-01-19",0.0726072607260726,0.0740000000000001,0.103656093489149,0.139180535279805,0.109343065693431,0.169800753695154,0.112573964497041,0.209467455621302,0.0496048387096775
"1987-01-20",0.0505610561056105,0.0539473684210527,0.0775959933222037,0.0887788321167884,0.0794890510948905,0.116754618559797,0.0823076923076922,0.130177514792899,0.0461708064516129
"1987-01-21",0.0461386138613862,0.0443421052631578,0.063906510851419,0.083217396593674,0.0702919708029197,0.0996059086250809,0.0615680473372782,0.114201183431953,0.0413600000000001
"1987-01-22",0.0322772277227723,0.0408684210526316,0.0530884808013357,0.0602665450121656,0.0541605839416059,0.0761131598819902,0.0515976331360948,0.0719526627218934,0.0375959677419355
"1987-01-23",0.0337293729372938,0.0381842105263157,0.0445742904841402,0.0458378345498784,0.0423357664233577,0.0608020972594787,0.0462130177514792,0.0521301775147929,0.034367741935484
"1987-01-24",0.0344554455445545,0.0413157894736842,0.110016694490818,0.0626474452554744,0.0478102189781022,0.0695907079532778,0.0446745562130177,0.0511242603550295,0.0325517741935484
"1987-01-25",0.0344554455445545,0.0587368421052632,0.131218714524207,0.101897445255474,0.0634671532846716,0.0977271898791139,0.0573372781065089,0.0692307692307692,0.0389983870967743
"1987-01-26",0.0300990099009901,0.0437368421052631,0.0560934891485809,0.0533807785888079,0.0456204379562044,0.0652700839016076,0.0446745562130177,0.0521301775147929,0.0352837096774195
"1987-01-27",0.0257425742574258,0.0317894736842106,0.0459766277128548,0.0427682481751825,0.0352189781021899,0.0522814680299553,0.0380177514792899,0.0424852071005917,0.0303122580645161
"1987-01-28",0.0221122112211221,0.0377368421052631,0.0414023372287144,0.0378716545012165,0.0329197080291972,0.0495625556722474,0.036612426035503,0.036568047337278,0.0281079032258065
"1987-01-29",0.0199339933993399,0.0334736842105263,0.0370283806343907,0.0314815085158151,0.0288321167883212,0.0429273713047678,0.0319526627218936,0.0310059171597634,0.0268027419354839
"1987-01-30",0.0184818481848186,0.0281052631578946,0.0340233722871452,0.0272530413625305,0.0264963503649636,0.0386099897261896,0.0293491124260354,0.027603550295858,0.0255112903225807
"1987-01-31",0.017029702970297,0.0274736842105263,0.0328213689482471,0.0256408759124087,0.0253284671532847,0.0367328543577037,0.0274408284023668,0.0258579881656804,0.024658064516129
