"","E65925000","E73900000","E73770000","E73765000","E73820000","E73780000","E73690001","E73960000","E73600000"
"1979-01-01",0.0131807228915664,0.01,0.0127704307522338,0.0100601503759399,0.00700990099009902,0.0129003115264799,0.0136864864864865,0.00873786407766985,0.0140543478260871
"1979-01-02",0.0128915662650602,0.00952153110047838,0.0133608068208233,0.00760902255639095,0.0104950495049505,0.0140965732087228,0.010118918918919,0.00904126213592238,0.0175597826086957
"1979-01-03",0.0128915662650602,0.0265550239234449,0.0181351418882281,0.00595488721804505,0.0391089108910891,0.0383177570093458,0.0187027027027027,0.010254854368932,0.0229565217391305
"1979-01-04",0.0126024096385542,0.0206220095693781,0.0196632084845818,0.00529323308270668,0.0430693069306931,0.0466666666666666,0.0192297297297297,0.0162621359223301,0.0206086956521738
"1979-01-05",0.0123132530120482,0.0123205741626795,0.0163057189398812,0.00473308270676687,0.024950495049505,0.0252803738317757,0.0160675675675677,0.0131310679611651,0.0182608695652173
"1979-01-06",0.0120240963855422,0.00858851674641148,0.0137510944466344,0.00381578947368411,0.0127722772277228,0.0155218068535825,0.0146135135135135,0.0111650485436894,0.0147554347826087
"1979-01-07",0.0120240963855422,0.00602870813397138,0.0123896545512774,0.00335714285714284,0.00727722772277217,0.0109065420560748,0.0141500000000001,0.00934466019417468,0.0133532608695652
"1979-01-08",0.0117349397590361,0.00602870813397138,0.0117932516207147,0.00266917293233093,0.00673267326732674,0.00850467289719625,0.0141500000000001,0.00784587378640778,0.0133532608695652
"1979-01-09",0.0111927710843374,0.00602870813397138,0.0113329194637306,0.00237593984962414,0.00598019801980199,0.00661682242990658,0.0150770270270271,0.00873786407766985,0.0107228260869565
"1979-01-10",0.0101807228915662,0.00531100478468893,0.010188909204456,0.00208270676691735,0.00471287128712872,0.0046323987538941,0.0141500000000001,0.00665655339805826,0.0101956521739131
"1979-01-11",0.00916867469879512,0.00497607655502397,0.00935653623995836,0.00178947368421056,0.00354455445544555,0.00352336448598134,0.0136864864864865,0.00576456310679618,0.00914130434782612
"1979-01-12",0.00822891566265049,0.00461722488038285,0.00917153853128583,0.00149624060150377,0.00284158415841573,0.00261993769470403,0.0141500000000001,0.00555461165048543,0.00914130434782612
"1979-01-13",0.00754216867469881,0.00437799043062204,0.00855243732684663,0.00112406015037592,0.00193069306930682,0.00225856697819315,0.0132229729729729,0.00534466019417468,0.00808695652173919
"1979-01-14",0.0073132530120481,0.00392344497607655,0.0079627699625946,0.000887218045112714,0.00168316831683168,0.00214485981308421,0.0127594581081081,0.00471480582524264,0.00703260869565225
"1979-01-15",0.00708433734939762,0.00370813397129188,0.0077711722868723,0.000808270676691647,0.00143564356435633,0.0019174454828661,0.0132229729729729,0.00450485436893211,0.00650543478260879
"1979-01-16",0.00662650602409642,0.0032535885167464,0.00679279279279288,0.00072932330827058,0.00118811881188119,0.00157632398753904,0.0150770270270271,0.00429490291262136,0.00650543478260879
"1979-01-17",0.00623493975903622,0.00301435406698558,0.00583783783783787,0.000650375939849734,0.00100990099009901,0.00123520249221176,0.0150770270270271,0.0040849514563106,0.00650543478260879
"1979-01-18",0.00584337349397601,0.0025598086124401,0.00583783783783787,0.000650375939849734,0.000903960396039682,0.00112149532710282,0.0141500000000001,0.0040849514563106,0.00597826086956532
"1979-01-19",0.00545180722891558,0.00233253588516757,0.00545945945945947,0.0004924812030076,0.000851485148514852,0.00103146417445488,0.0136864864864865,0.00387500000000007,0.00597826086956532
"1979-01-20",0.00506024096385538,0.00205263157894731,0.00563963963963965,0.000379699248120202,0.000747524752475304,0.000986448598130796,0.0136864864864865,0.00366504854368932,0.00564673913043467
"1979-01-21",0.00486445783132528,0.00191387559808609,0.00508108108108107,0.000312030075187986,0.000643564356435533,0.000851401869158774,0.012295945945946,0.00344660194174762,0.00531521739130425
"1979-01-22",0.00466867469879517,0.00177272727272726,0.00472072072072072,0.000244360902255547,0.000539603960395985,0.000851401869158774,0.0105121621621622,0.00322815533980592,0.00531521739130425
"1979-01-23",0.00450602409638545,0.00177272727272726,0.00434234234234232,0.000210526315789439,0.000515841584158405,0.000806386292834915,0.00854594594594604,0.00322815533980592,0.00498369565217383
"1979-01-24",0.00466867469879517,0.00177272727272726,0.00508108108108107,0.000176691729323331,0.000491089108910936,0.000761370716510834,0.0109054054054054,0.00322815533980592,0.00498369565217383
"1979-01-25",0.00506024096385538,0.00163397129186604,0.00311711711711715,0.000176691729323331,0.000467326732673357,0.000671339563862894,0.0105121621621622,0.00300970873786399,0.00498369565217383
"1979-01-26",0.00506024096385538,0.00163397129186604,0.00416216216216214,0.000210526315789439,0.000467326732673357,0.000671339563862894,0.010118918918919,0.00290048543689325,0.00531521739130425
"1979-01-27",0.00564759036144569,0.00163397129186604,0.00416216216216214,0.000244360902255547,0.000467326732673357,0.000671339563862894,0.0109054054054054,0.00290048543689325,0.00597826086956532
"1979-01-28",0.00623493975903622,0.00163397129186604,0.00508108108108107,0.000176691729323331,0.000467326732673357,0.000671339563862894,0.0105121621621622,0.00322815533980592,0.00564673913043467
"1979-01-29",0.00584337349397601,0.00149282296650721,0.00472072072072072,0.000142857142857222,0.000467326732673357,0.000646105919003048,0.0105121621621622,0.00366504854368932,0.00564673913043467
"1979-01-30",0.00564759036144569,0.00149282296650721,0.00545945945945947,7.51879699247837e-05,0.000491089108910936,0.000595638629283579,0.011368918918919,0.00355582524271836,0.00564673913043467
"1979-01-31",0.00506024096385538,0.00149282296650721,0.00398198198198196,7.51879699247837e-05,0.000443564356435555,0.000570404984423734,0.00933243243243242,0.00333737864077666,0.00531521739130425
