"","E84071000","E84095000","E84095500"
"1983-01-01",0.0122485604606526,0.0119903010033444,0.0134754777657948
"1983-01-02",0.0144914587332055,0.0138568561872909,0.015677250439712
"1983-01-03",0.0126846449136275,0.0144936454849498,0.0148570975329096
"1983-01-04",0.0118186180422264,0.0126051839464882,0.0134868508221002
"1983-01-05",0.0189106525911709,0.014174414715719,0.0185155144340101
"1983-01-06",0.134757965451056,0.11053110367893,0.132496213786062
"1983-01-07",0.10771094049904,0.0960274247491639,0.109444228450509
"1983-01-08",0.0638516314779272,0.0558172240802675,0.064581962098869
"1983-01-09",0.0397128598848369,0.0407857859531773,0.0431044155236437
"1983-01-10",0.0297657389635317,0.0262735785953176,0.0305454468064028
"1983-01-11",0.0329503838771592,0.0266446488294314,0.0326543289266954
"1983-01-12",0.0285292706333973,0.0281411371237459,0.0256211812627292
"1983-01-13",0.0243730326295586,0.0212187290969901,0.0227596741344196
"1983-01-14",0.0215708253358926,0.0177779264214046,0.0203411405295315
"1983-01-15",0.0215708253358926,0.0177779264214046,0.0187932790224032
"1983-01-16",0.0469852207293666,0.0331389632107024,0.0203411405295315
"1983-01-17",0.0267151631477927,0.0226357859531772,0.0270977596741344
"1983-01-18",0.022119961612284,0.019136287625418,0.0200814663951121
"1983-01-19",0.0238014395393473,0.0251683946488295,0.0200814663951121
"1983-01-20",0.0621546065259118,0.0496670568561872,0.0467922606924644
"1983-01-21",0.0454906909788868,0.0379235785953178,0.044806517311609
"1983-01-22",0.0310236084452975,0.0255354515050168,0.0289714867617108
"1983-01-23",0.0255331094049904,0.0244381270903009,0.0233197556008147
"1983-01-24",0.0261214011516315,0.0240749163879599,0.0238798370672098
"1983-01-25",0.0411270633397314,0.024802508361204,0.0259164969450101
"1983-01-26",0.027314395393474,0.0237130434782609,0.030234215885947
"1983-01-27",0.0238014395393473,0.024802508361204,0.0206008146639511
"1983-01-28",0.0397128598848369,0.0311931438127091,0.0227596741344196
"1983-01-29",0.0818379078694818,0.0488030100334449,0.070264765784114
"1983-01-30",0.0571768714011516,0.0436983277591974,0.0533604887983707
"1983-01-31",0.0523710172744722,0.0594090301003345,0.0529531568228105
"1983-02-01",0.0655673704414588,0.076700668896321,0.084521384928717
"1983-02-02",0.0418417466410748,0.0387361204013379,0.0409877800407332
"1983-02-03",0.0303920345489443,0.0285183946488294,0.0296028513238289
"1983-02-04",0.0267151631477927,0.024802508361204,0.025325865580448
"1983-02-05",0.044016122840691,0.0222794314381272,0.0289714867617108
"1983-02-06",0.0447508637236085,0.0233526755852842,0.0315427698574338
"1983-02-07",0.0355931861804222,0.0285183946488294,0.0312118126272913
"1983-02-08",0.0310236084452975,0.0277650501672242,0.0280244399185337
"1983-02-09",0.0418417466410748,0.0277650501672242,0.0299185336048879
"1983-02-10",0.0369457773512476,0.0288968227424748,0.0331975560081466
"1983-02-11",0.0329503838771592,0.0255354515050168,0.030549898167006
"1983-02-12",0.0291448176583493,0.0219244147157192,0.0256211812627292
"1983-02-13",0.0249502879078696,0.0237130434782609,0.0224796334012221
"1983-02-14",0.0226748560460652,0.0240749163879599,0.0200814663951121
"1983-02-15",0.0267151631477927,0.0205187290969899,0.0256211812627292
"1983-02-16",0.0226748560460652,0.0215709030100335,0.0250305498981671
"1983-02-17",0.0547523032629558,0.0420280936454849,0.0384215885947046
"1983-02-18",0.0404174664107486,0.0323571906354516,0.0359368635437882
"1983-02-19",0.0238014395393473,0.0244381270903009,0.030234215885947
"1983-02-20",0.0726159309021113,0.0259038461538461,0.0373217922606925
"1983-02-21",0.0349246641074856,0.0226357859531772,0.0436608961303462
"1983-02-22",0.0310236084452975,0.0229934782608696,0.0322046843177188
"1983-02-23",0.0267151631477927,0.027016889632107,0.0270977596741344
"1983-02-24",0.0249502879078696,0.0212187290969901,0.0244399185336048
"1983-02-25",0.0226748560460652,0.041198829431438,0.0221995926680245
"1983-02-26",0.056363915547025,0.0496670568561872,0.0533604887983707
"1983-02-27",0.0342613243761996,0.0540421404682274,0.035244399185336
"1983-02-28",0.175913627639156,0.0810653846153846,0.0910386965376782
"1983-03-01",0.0915079654510556,0.121188628762542,0.214918533604888
"1983-03-02",0.0523710172744722,0.0658239130434783,0.0712830957230142
"1983-03-03",0.0508077735124761,0.0603155518394649,0.0562118126272912
"1983-03-04",0.0866174664107486,0.113172742474916,0.128818737270876
"1983-03-05",0.0508077735124761,0.0672193979933111,0.0682281059063137
"1983-03-06",0.0404174664107486,0.0549279264214046,0.0512830957230141
"1983-03-07",0.0369457773512476,0.0395528428093646,0.0402545824847251
"1983-03-08",0.0329503838771592,0.032747491638796,0.0335285132382892
"1983-03-09",0.0297657389635317,0.0300396321070233,0.0315427698574338
"1983-03-10",0.0285292706333973,0.0281411371237459,0.0296028513238289
"1983-03-11",0.027314395393474,0.0266446488294314,0.0280244399185337
"1983-03-12",0.0355931861804222,0.0379235785953178,0.0338594704684319
"1983-03-13",0.0310236084452975,0.0308073578595318,0.030549898167006
"1983-03-14",0.027314395393474,0.0237130434782609,0.0244399185336048
"1983-03-15",0.0238014395393473,0.0226357859531772,0.0241598778004073
"1983-03-16",0.0249502879078696,0.0226357859531772,0.0235997963340122
"1983-03-17",0.0249502879078696,0.0222794314381272,0.0238798370672098
"1983-03-18",0.0238014395393473,0.0219244147157192,0.0235997963340122
"1983-03-19",0.0376298464491363,0.0420280936454849,0.049613034623218
"1983-03-20",0.0261214011516315,0.0266446488294314,0.0331975560081466
"1983-03-21",0.0238014395393473,0.0222794314381272,0.0268024439918533
