"","E82320000","E82350000","E82370000","E82549000","E82770000"
"1978-01-01",0.0233626373626374,0.0239294710327456,0.0216014234875446,0.0487709497206703,0.0518871843151221
"1978-01-02",0.0211868131868131,0.0211586901763223,0.0191814946619218,0.0474860335195531,0.0498779032218191
"1978-01-03",0.0190109890109891,0.0185138539042822,0.0149288256227758,0.0474860335195531,0.0486836080006685
"1978-01-04",0.0190109890109891,0.0173803526448362,0.013914590747331,0.0438826815642459,0.0464772784873939
"1978-01-05",0.0179230769230769,0.0162468513853904,0.0129003558718861,0.0414804469273744,0.0446729495666089
"1978-01-06",0.0168351648351648,0.0144836272040303,0.0118861209964414,0.037877094972067,0.0420094199752528
"1978-01-07",0.0273846153846153,0.0239294710327456,0.013914590747331,0.0299301675977655,0.0435653211922806
"1978-01-08",0.0222747252747253,0.0190176322418136,0.0129003558718861,0.0366759776536312,0.0441593081579181
"1978-01-09",0.0244505494505494,0.0173803526448362,0.0240213523131672,0.0332569832402234,0.0414679843179464
"1978-01-10",0.0222747252747253,0.0162468513853904,0.013914590747331,0.0438826815642459,0.0466302125895972
"1978-01-11",0.0222747252747253,0.0162468513853904,0.0129003558718861,0.037877094972067,0.0436601939902905
"1978-01-12",0.0190109890109891,0.0151133501259446,0.0118861209964414,0.0343659217877095,0.0408891186618976
"1978-01-13",0.0179230769230769,0.0144836272040303,0.0129003558718861,0.0354748603351955,0.0409322295107684
"1978-01-14",0.0190109890109891,0.0144836272040303,0.0129003558718861,0.0354748603351955,0.0411340948951744
"1978-01-15",0.0179230769230769,0.0144836272040303,0.0191814946619218,0.0366759776536312,0.0411402485806878
"1978-01-16",0.0168351648351648,0.0144836272040303,0.0149288256227758,0.0366759776536312,0.0412083095381364
"1978-01-17",0.0190109890109891,0.0144836272040303,0.0129003558718861,0.0366759776536312,0.0417417314712367
"1978-01-18",0.0190109890109891,0.0162468513853904,0.013914590747331,0.037877094972067,0.0429897588891519
"1978-01-19",0.0168351648351648,0.0230478589420655,0.0508896797153024,0.0402793296089385,0.0441915694804089
"1978-01-20",0.0502637362637364,0.0350125944584383,0.0604982206405693,0.0577653631284916,0.0633984968328283
"1978-01-21",0.078021978021978,0.0317380352644836,0.0276512455516014,0.0630167597765363,0.07188169017181
"1978-01-22",0.103296703296703,0.0448362720403024,0.111708185053381,0.105921787709497,0.0980910684460268
"1978-01-23",0.0484065879120879,0.0403022670025188,0.0372775800711744,0.0462849162011174,0.0607927730439459
"1978-01-24",0.0317857142857143,0.0258186397984888,0.022811387900356,0.0366759776536312,0.0479970444500555
"1978-01-25",0.0244505494505494,0.0230478589420655,0.0179715302491104,0.0450837988826815,0.050106398759397
"1978-01-26",0.0233626373626374,0.0295969773299749,0.022811387900356,0.233659217877095,0.143827238811287
"1978-01-27",0.0597252747252748,0.0814861460957179,0.0276512455516014,0.124301675977654,0.119482855262963
"1978-01-28",0.0361868131868133,0.0295969773299749,0.0191814946619218,0.0683798882681563,0.0665910184068397
"1978-01-29",0.0244505494505494,0.0249370277078085,0.0169572953736654,0.0577653631284916,0.0573254819585507
"1978-01-30",0.0233626373626374,0.0211586901763223,0.0179715302491104,0.0474860335195531,0.050361053864556
"1978-01-31",0.020098901098901,0.0190176322418136,0.013914590747331,0.0402793296089385,0.0455149186928701
"1978-02-01",0.103296703296703,0.0716624685138538,0.0508896797153024,0.0616759776536313,0.0902347029743076
"1978-02-02",0.0446923076923076,0.0360201511335012,0.0203914590747332,0.051340782122905,0.0620593470068289
"1978-02-03",0.0446923076923076,0.0258186397984888,0.0252313167259786,0.0462849162011174,0.055098658173468
"1978-02-04",0.0856043956043957,0.076574307304786,0.0372775800711744,0.0564804469273743,0.087172494825227
"1978-02-05",0.073956043956044,0.0652392947103275,0.0508896797153024,0.0643575418994413,0.0837500295193074
"1978-02-06",0.0597252747252748,0.0546599496221662,0.0358362989323844,0.0577653631284916,0.074532046188019
"1978-02-07",0.0521208791208791,0.0403022670025188,0.0240213523131672,0.0450837988826815,0.0617076660696305
"1978-02-08",0.0465494505494506,0.0317380352644836,0.0203914590747332,0.0390782122905029,0.054444075367446
"1978-02-09",0.0376538461538463,0.0277078085642317,0.0179715302491104,0.0390782122905029,0.0513619549084403
"1978-02-10",0.0317857142857143,0.0230478589420655,0.0149288256227758,0.0354748603351955,0.0467849996001426
"1978-02-11",0.0273846153846153,0.0220403022670026,0.0240213523131672,0.0697206703910616,0.0622463486624989
"1978-02-12",0.0259175824175824,0.0201511335012594,0.0240213523131672,0.0643575418994413,0.0585244974928831
"1978-02-13",0.0233626373626374,0.0201511335012594,0.0169572953736654,0.055195530726257,0.0539044797676573
"1978-02-14",0.0233626373626374,0.0178841309823679,0.013914590747331,0.0390782122905029,0.0450599826882101
"1978-02-15",0.0288516483516483,0.0173803526448362,0.022811387900356,0.0390782122905029,0.0453066685022978
"1978-02-16",0.020098901098901,0.019647355163728,0.0191814946619218,0.0474860335195531,0.049069180539991
"1978-02-17",0.0190109890109891,0.0173803526448362,0.013914590747331,0.037877094972067,0.0434428853679099
"1978-02-18",0.0190109890109891,0.0144836272040303,0.0118861209964414,0.0354748603351955,0.0411988247810746
"1978-02-19",0.0179230769230769,0.0134760705289672,0.0108718861209964,0.0343659217877095,0.040097681971325
"1978-02-20",0.0179230769230769,0.0134760705289672,0.0108718861209964,0.0321480446927374,0.0389746676700506
"1978-02-21",0.0288516483516483,0.0151133501259446,0.022811387900356,0.04268156424581,0.0462197292383084
"1978-02-22",0.0446923076923076,0.0414357682619648,0.0300711743772242,0.0526256983240223,0.0642497433162788
