Estat;Longitude;Latitude;mu_SON;sigma_SON;Area;Prec-med_SON;IEB_SON;Coe-compa;Compr-rios;Compr-talv;Dens-dren;Difer-cota;Fator-form;Freq-1ordem;Elev-med;Decli-med;Perimetro;Raz-alonga;Raz-area;Raz-bifur;Raz-circu;Raz-compr;Raz-decliv;Num-rios;Diam-topo;Area-SIG;Reg_hid
E72870000;464429,57;6979438,59;-4,017033172;1,0787638185;420;506,22;0,2713906786;5,099731269;397,9234;74,919082928;0,947297583;572;5,6068714222;0,36661284;824,7865;7,17;117,9393895518;0,3086875625;3,083;6,0171;0,3794942172;4,9281;2,0599;233;69;420,061665045;2
E73300000;406670,65;7021407,48;-3,9955592011;1,1225470248;654;570,64;0,3505603193;6,4482128096;570,5261;89,802412282;0,8719079499;676;7,2864648899;0,3942891501;1018,427;7,43;186,121635893;0,3214174832;3,0059;8,7121;0,2373673719;7,502;2,0594;380;85;654,3421241255;2
E73330000;396717,75;7020715,11;-3,714017234;0,9930928755;933;567,81;0,3392522212;6,8368933304;803,8715;129,202479269;0,8524626936;824;7,2986141083;0,37539805;951,8659;8,85;236,9024151399;0,2681883058;2,9797;9,9365;0,2111456494;10,4362;2,2825;510;120;942,999038018;2
E73350000;381052,74;7017685,96;-3,715499956;1,0430923677;1500;560,27;0,3303256644;7,2968918517;1274,4041;191,613420959;0,8503506803;1009;7,8213761353;0,3609841792;844,6921;9,48;318,7480357279;0,227973141;6,4544;5,6367;0,1853633741;4,048;2,071;794;168;1498,6806378853;2
E73600000;411517,28;7052477,86;-3,3845012219;0,8051375865;1840;572,85;0,4529391863;6,765844233;1692,1018;196,241356442;0,9216904663;635;9,3551521483;0,4036238455;1096,536;4,42;327,1129596097;0,2463685221;3,3646;5,4824;0,2156034745;5,2351;1,737;1075;181;1835,8677473037;2
E73690001;422335,66;7033610,61;-3,5580725771;0,8279217885;740;567,82;0,4564289388;5,6678534263;678,5093;92,953953311;0,917728546;554;7,9537822849;0,388186415;1112,005;5,89;173,8979458444;0,3300714617;5,9941;5,0134;0,3072292241;4,2034;1,8006;435;100;739,3355071587;2
E73765000;320123,65;7053429,88;-4,1535126425;1,3801128433;266;565,61;0,1736686936;4,9226382725;233,8956;45,161374795;0,9144447848;520;5,6636630841;0,441787963;614,3433;10,09;88,8352370487;0,3995951307;3,301;5,0267;0,407290141;3,4772;2,288;158;50;255,7788112528;2
E73770000;377331,22;7049621,81;-3,5248043254;0,8634640577;5550;571,83;0,4291348258;6,1604238017;5407,6006;330,22641308;0,9234784257;1053;17,7323398583;0,3850957206;877,3934;6,28;531,9301124091;0,2614762085;5,289;5,0266;0,2600629982;3,3662;1,6628;3294;282;5855,6869869155;2
E73780000;305929,94;7066238,83;-4,1388885829;1,4099465026;642;576,17;0,1844894721;5,1912641546;595,8669;79,155020395;0,9286646013;613;8,106099023;0,3584573305;691,3618;9,84;148,3793186588;0,3610952529;3,2282;4,1237;0,366229639;2,8421;2,0924;368;64;641,638433492;2
E73820000;304545,19;7058709,24;-4,0553032647;1,3155191476;1010;570,77;0,2186067952;5,211581638;938,8515;112,012308846;0,9260391958;662;9,0511088151;0,3669233961;644,2003;9,84;187,2441992187;0,3207547362;3,5061;4,6304;0,363379694;3,3253;2,1114;571;84;1013,8355959931;2
E73900000;292947,89;7033264,42;-3,7305266083;1,1690780155;418;554,27;0,2952621078;4,8324083637;388,3091;55,3923732;0,9277930462;513;7,5557309166;0,391847782;527,4193;6,97;111,5531695091;0,4167430009;3,2274;3,7933;0,4226418423;2,3772;1,8453;245;55;418,5298667332;2
E73960000;371532,57;7046073,38;-3,6706464987;0,9277317743;8240;566,82;0,3908455416;6,1595955374;7620,3359;423,831798056;0,924830448;1136;19,4409936801;0,381445403;782,1813;7,16;630,9039592421;0,2416670944;4,8344;5,2196;0,2601329428;3,2699;1,7309;4638;338;8239,7113074344;2
E74100000;461974,19;6951564,05;-3,6219661765;0,7620433636;61900;508,79;0,4548794728;6,0746690457;56997,3477;1001,258280184;0,9190220538;1620;61,9416247548;0,3886031791;846,8124;7,19;1707,0334767577;0,2806553307;3,8826;4,3675;0,2674573278;2,4445;1,4736;35348;999;62019,5646737806;2
E74270000;301862,23;6915733,59;-3,5728094827;0,910188039;5340;552,04;0,3776381046;5,8452106039;4966,0991;366,419145565;0,9294450597;492;14,5818793561;0,4057584935;492,8044;5,6;482,1154531012;0,2250985673;3,6807;4,8033;0,2888679893;3,3608;1,731;3171;289;5343,0797744043;2
E74295000;277282,88;7028504,34;-3,8354778516;1,1929000239;300;560,7;0,2407042691;5,3043118625;283,4501;62,096999623;0,9456063735;481;4,8272034938;0,3969910699;505,7563;7,51;103,625638934;0,314606401;3,6068;5,2437;0,3507855097;4,0331;2,1438;178;60;299,7548535357;2
E74320000;283427,72;7062430,76;-3,9242218426;1,2126021305;609;584,16;0,2596449413;4,8145586361;557,6111;71,379584001;0,9163346167;620;8,5251750341;0,3927539703;671,6277;9,27;134,014008668;0,3899596799;3,4396;4,2591;0,4257814972;2,3794;2,2394;347;68;608,5234474704;2
E74370000;255126,85;6936937,61;-3,4739538282;0,7082239876;2020;543,38;0,5482849266;5,2318857758;1807,7762;178,455110708;0,8943566438;425;11,3267401374;0,386876924;493,8527;4,73;265,4179414683;0,2842778569;4,1605;4,2103;0,3605647263;2,9784;1,7808;1132;135;2021,3146651795;2
E74470000;232451,54;6930879,32;-3,6470198844;0,7791657508;1540;543,55;0,5050575295;6,0744404511;1363,5085;174,064761114;0,885771335;400;8,8435242191;0,4157609978;461,9769;4,33;268,9239318022;0,2543386225;4,131;5,3714;0,2674774582;3,4001;1,8771;890;145;1539,345930602;2
E82270050;695218,36;7107694,85;-3,0756293466;0,7620520154;374;526,25;0,4930185919;5,641069727;347,808;53,662488446;0,9364371175;1477;6,9213392961;0,3769355404;714,5967;12,07;122,6724392618;0,4052422567;3,6074;5,5714;0,310153588;3,7649;1,6079;206;68;371,4162900078;3
E82320000;660166,82;7076105,19;-3,3077385653;0,7401464196;182;464,77;0,5032898842;5,0866793165;170,9842;26,472754801;0,9384383903;887;6,882576983;0,4061453683;747,7227;9,13;77,4755246127;0,5753485589;3,6659;4,45;0,3814442104;2,4127;1,4055;104;39;182,2007728697;3
E82350000;671158,29;7079134,34;-3,6921206323;0,814332899;794;481,48;0,4124032303;5,4659549965;745,3762;68,708928338;0,9423520878;1116;11,5119567577;0,4159427641;573,4446;11,2;173,4611707149;0,4618735015;3,2238;3,4571;0,3303449272;1,9981;2,2656;493;89;790,9742118939;3
E82370000;681370,84;7061565,29;-3,4691680006;0,8478911973;281;490,6;0,5297339837;4,5870540315;267,1816;32,006667544;0,9455098154;936;8,8287668026;0,4211205713;265,6706;13,16;87,0079962915;0,5926316652;3,5331;3,8578;0,4690639256;1,8448;2,8088;185;41;282,5794038755;3
E82549000;688986,97;7088135,22;-3,3618906761;0,7678252174;358;519,16;0,4585997351;5,6963417918;354,7351;39,418519105;0,9927363528;1161;9,0650443423;0,4729513477;540,4647;11,18;121,5027808761;0,5411153744;3,2744;3,9896;0,3041638982;2,4125;1,775;266;55;357,3306235944;3
E82770000;705517,45;7082423,12;-3,3558562254;1,0020967599;392;509,17;0,3083263013;6,2404083754;361,5609;47,579595452;0,9467631863;1082;8,0263732359;0,3980187136;156,6359;6,83;137,6062369158;0,4634515749;3,5934;3,9747;0,2534391616;2,0947;2,6526;236;48;381,8915915122;3
