Estat;Longitude;Latitude;mu_DJF;sigma_DJF;Area;Prec-med_DJF;IEB_DJF;Coe-compa;Compr-rios;Compr-talv;Dens-dren;Difer-cota;Fator-form;Freq-1ordem;Elev-med;Decli-med;Perimetro;Raz-alonga;Raz-area;Raz-bifur;Raz-circu;Raz-compr;Raz-decliv;Num-rios;Diam-topo;Area-SIG;Reg_hid
E65094500;637734,9063;7094093,0912;-3,9024862728;0,7933449636;960;495,54;0,5166715595;5,3825916327;776,8423;75,026859515;0,9789445091;252;10,5768908494;0,4133320224;916,8617;4,3;171,093648119;0,4236680234;3,3823;3,5754;0,340656658;2,0361;1,7152;482;73;793,5509038619;1
E65095000;639543,6272;7099735,8159;-3,9544745425;0,6908570571;2610;536,85;0,5262334613;7,092032508;2354,5828;116,391412321;0,9631431914;737;21,004007769;0,4004604062;896,3566;4,94;395,6738338842;0,4793422117;3,9819;4,2359;0,1962267948;2,2425;1,7345;1418;135;2444,6861286302;1
E65135000;660965,3727;7130631,4005;-3,9386165789;0,6641928199;605;554,54;0,5412788571;5,7800973747;578,1666;60,891492295;0,953494083;471;9,95814348;0,4287837823;918,6203;4,06;160,604501119;0,4563162557;4,7449;4,5591;0,2954128862;2,508;1,9416;376;79;606,3662169859;1
E65180000;571567,2141;7082906,7224;-4,2628320564;0,8933749975;772;481,48;0,4155141195;6,039644141;711,0868;71,66839971;0,938701869;577;10,56981113;0,399988674;889,9819;6,58;187,5702153;0,433336049;3,8281;4,4446;0,270568382;2,5248;2,1033;431;86;757,5214489;1
E65925000;370687,3088;7092917,5691;-3,9217127282;0,7419903182;1660;528,38;0,4888417651;6,0725040204;1510,9214;169,847505526;0,9104513532;554;9,7707061819;0,4139726128;1096,792;3,71;279,1357318824;0,270637797;4,0392;4,1746;0,2676480745;2,3187;1,7071;990;163;1659,5300722211;1
E70100000;617385,7718;6861330,6788;-3,8263515867;0,8764398689;533;478,33;0,3459541146;5,6159111137;472,7467;67,299909065;0,8867926113;714;7,9212179437;0,3695385804;1400,16;8,9;146,3115141162;0,3871183891;3,6124;4,1431;0,3129387148;2,3554;1,9904;289;62;533,0972472917;2
E70200000;568398,8255;6853960,3465;-4,0253997976;0,8888418845;2820;494,12;0,3491001535;6,1002950583;2551,7544;218,931900456;0,9045725416;1031;12,8850593924;0,382140695;1213,489;8,57;365,597852968;0,2737434574;3,5115;4,2076;0,2652149874;2,6161;1,7976;1601;185;2820,9505402607;2
E70300000;592283,22;6892514,0926;-4,2625755001;1,0279732749;1170;459,65;0,2981362862;4,8758482368;992,7623;80,431611807;0,857286;782;14,3976885018;0,3393696537;1303,808;8,42;187,2255053017;0,4774062057;3,3538;4,6867;0,4151445934;2,7286;1,9612;561;58;1158,0292924962;2
E70500000;554749,8684;6884836,1388;-4,2622683881;1,0333793272;550;428,48;0,2957606431;5,4027804291;516,7833;60,327810604;0,9394550068;404;9,1183219288;0,3962999413;1111,504;4,24;142,9843877546;0,4386859626;3,5519;4,0802;0,3381155226;2,0865;1,7926;311;73;550,0883983462;2
E71200000;620301,0329;6923966,098;-3,534296167;0,6499614241;1010;489,1;0,4774067142;5,418381453;876,8089;114,165793083;0,8657195405;972;8,8713912117;0,363345754;1191,171;12,24;194,5756544831;0,3145451013;3,5999;4,6136;0,3361712688;4,024;3,1583;552;134;1012,809413436;2
E71250000;635265,1139;6920945,6515;-3,9758050658;0,9436131833;489;501,22;0,3555157389;4,9149763555;438,0168;53,213181401;0,8981957126;966;9,164326762;0,4080687015;1113,639;12,42;122,4718808156;0,4682693474;3,561;4,0549;0,4085609734;2,3061;2,5044;290;62;487,6629824043;2
E71300000;614414,4056;6935287,2513;-3,7084437551;0,6822358348;2000;484,92;0,4831960174;4,6783121744;1793,401;142,626581233;0,8995046905;978;13,9789162508;0,3776774028;1111,75;11,07;235,7117569301;0,3532576493;4,2779;4,1428;0,450942688;2,8981;2,4083;1132;155;1993,7650341942;2
E71350001;587672,8969;6957050,5403;-3,8143071092;0,727142615;3230;486,39;0,4824765649;5,6118609234;3082,4658;224,443351379;0,926045383;989;14,8306180792;0,3743277694;1029,911;8,51;365,3380924339;0,2900556385;3,873;4,4375;0,3133905859;2,6526;2,163;1874;219;3328,6336247103;2
E71383000;560138,7546;6959647,3986;-4,0285340218;0,7560030352;4610;482,4;0,4925393183;6,2328408504;4456,7402;311,937407921;0,9443170281;998;15,1297599708;0,386266613;990,7339;7,25;483,1598587478;0,2485062689;3,5349;4,6983;0,2540549551;3,0934;1,9956;2706;296;4719,5381077627;2
E71498000;524389,1586;6976600,885;-4,0063329557;0,6661736265;3680;478,23;0,5185110028;5,7522583769;3389,3577;143,064411657;0,9224919831;688;25,6816658652;0,3848527596;1021,153;5,38;393,4330564389;0,4780803;3,4856;3,6395;0,2982792037;2,0079;1,6141;2089;151;3674,1324173699;2
E71550000;514635,092;6954032,1858;-4,0267655895;0,7405907638;10000;480,38;0,4984199944;6,8060368876;9424,7842;430,782653717;0,9309574315;1114;23,5008399357;0,3841460318;987,2938;6,3;772,7164428062;0,2635528081;3,955;4,1258;0,213064526;2,2808;1,6711;5748;411;10123,7541920886;2
E72430000;425753,1378;6916057,7742;-4,4372352448;0,8242861989;1620;460,45;0,4600053615;4,8820331468;1493,1313;108,901314484;0,9212291377;368;14,8832306349;0,4269487642;742,5278;4,31;221,7792701366;0,4171450594;3,3823;3,976;0,4140933898;2,4149;1,571;984;94;1620,8033799138;2
E72630000;412764,2253;6935019,6806;-4,3537031002;0,7972099806;2800;473,97;0,4747791791;5,1200681704;2608,2666;155,186413706;0,9331480381;516;18,0114109766;0,4218056302;659,9942;5,97;305,4439441497;0,3844165518;4,1343;4,2855;0,3764855037;2,4443;1,9534;1678;138;2795,1262752461;2
E72680000;415364,2334;6951070,6855;-4,3172526261;0,8478101638;3660;474,43;0,4286508061;5,3261373267;3404,7124;188,157465667;0,9320146387;541;19,4149485482;0,4141724712;651,0735;6,49;363,2421759667;0,3624619761;4,1051;4,4534;0,3479164999;2,6405;1,9088;2181;165;3653,0675148837;2
E72715000;492540,4851;7025142,2009;-4,3130460628;1,041910557;801;485;0,402483971;5,3287015259;751,2624;79,931345095;0,9388848425;604;10,0106483095;0,3849208099;1045,189;6,08;170,0850402319;0,3993260118;3,4369;4,3561;0,347581742;2,6349;1,7432;449;74;800,1645846476;2
E72810000;474460,5053;7003827,8193;-4,2128786747;0,9021560102;2010;488,86;0,380209182;4,9520098887;1884,3469;146,201111435;0,9397379561;743;13,7152401043;0,3859996151;1002,962;7,72;250,2151530889;0,3456061242;4,0199;4,0775;0,4024729888;2,336;1,7451;1124;136;2005,1833468529;2
E72849000;452377,2318;6995855,5763;-4,2715893398;0,9524568019;3710;493,37;0,3555412723;5,0969143679;3465,9009;188,698261356;0,9377684645;863;19,5863097351;0,3869149589;955,0331;9,06;349,6412424646;0,3635359956;3,6809;4,4648;0,3799138017;2,4298;1,7415;2100;182;3695,9025933853;2
E72870000;447936,4593;6978545,6773;-4,5761012848;1,0143811083;420;481,31;0,2828150362;5,099731269;397,9234;74,919082928;0,947297583;572;5,6068714222;0,36661284;824,7865;7,17;117,9393895518;0,3086875625;3,083;6,0171;0,3794942172;4,9281;2,0599;233;69;420,061665045;2
E73300000;382663,3002;7018749,8879;-4,377091024;1,0915378759;654;544,82;0,391417056;6,4482128096;570,5261;89,802412282;0,8719079499;676;7,2864648899;0,3942891501;1018,427;7,43;186,121635893;0,3214174832;3,0059;8,7121;0,2373673719;7,502;2,0594;380;85;654,3421241255;2
E73330000;364377,5464;7016257,3771;-4,0897638002;0,8583430032;933;532,96;0,3940872418;6,8368933304;803,8715;129,202479269;0,8524626936;824;7,2986141083;0,37539805;951,8659;8,85;236,9024151399;0,2681883058;2,9797;9,9365;0,2111456494;10,4362;2,2825;510;120;942,999038018;2
E73350000;349172,2028;6994354,5627;-4,1457044212;0,9293408662;1500;515,95;0,3601144294;7,2968918517;1274,4041;191,613420959;0,8503506803;1009;7,8213761353;0,3609841792;844,6921;9,48;318,7480357279;0,227973141;6,4544;5,6367;0,1853633741;4,048;2,071;794;168;1498,6806378853;2
E73600000;367930,4335;7061625,0892;-3,7907067343;0,6915452694;1840;530,79;0,51671794;6,765844233;1692,1018;196,241356442;0,9216904663;635;9,3551521483;0,4036238455;1096,536;4,42;327,1129596097;0,2463685221;3,3646;5,4824;0,2156034745;5,2351;1,737;1075;181;1835,8677473037;2
E73690001;398140,8444;7038393,8304;-3,8332716024;0,6420724615;740;544,24;0,5345381566;5,6678534263;678,5093;92,953953311;0,917728546;554;7,9537822849;0,388186415;1112,005;5,89;173,8979458444;0,3300714617;5,9941;5,0134;0,3072292241;4,2034;1,8006;435;100;739,3355071587;2
E73765000;326005,9339;7038991,7651;-4,872633703;1,3917110464;266;524,83;0,1935372443;4,9226382725;233,8956;45,161374795;0,9144447848;520;5,6636630841;0,441787963;614,3433;10,09;88,8352370487;0,3995951307;3,301;5,0267;0,407290141;3,4772;2,288;158;50;255,7788112528;2
