Estat;Longitude;Latitude;mu_MAM;sigma_MAM;Area;Prec-med_MAM;IEB_MAM;Coe-compa;Compr-rios;Compr-talv;Dens-dren;Difer-cota;Fator-form;Freq-1ordem;Elev-med;Decli-med;Perimetro;Raz-alonga;Raz-area;Raz-bifur;Raz-circu;Raz-compr;Raz-decliv;Num-rios;Diam-topo;Area-SIG;Reg_hid
E65094500;637734,9063;7094093,0912;-4,2089627441;0,73158791;960;326,78;0,5183817092;5,3825916327;776,8423;75,026859515;0,9789445091;252;10,5768908494;0,4133320224;916,8617;4,3;171,093648119;0,4236680234;3,3823;3,5754;0,340656658;2,0361;1,7152;482;73;793,5509038619;1
E65095000;639543,6272;7099735,8159;-4,2374632575;0,6957282927;2610;344,66;0,5426196121;7,092032508;2354,5828;116,391412321;0,9631431914;737;21,004007769;0,4004604062;896,3566;4,94;395,6738338842;0,4793422117;3,9819;4,2359;0,1962267948;2,2425;1,7345;1418;135;2444,6861286302;1
E65135000;660965,3727;7130631,4005;-4,2277737953;0,702636911;605;348,98;0,5923802889;5,7800973747;578,1666;60,891492295;0,953494083;471;9,95814348;0,4287837823;918,6203;4,06;160,604501119;0,4563162557;4,7449;4,5591;0,2954128862;2,508;1,9416;376;79;606,3662169859;1
E65180000;571567,2141;7082906,7224;-4,4973966836;0,9985328712;772;364,15;0,3767688224;6,039644141;711,0868;71,66839971;0,938701869;577;10,56981113;0,399988674;889,9819;6,58;187,5702153;0,433336049;3,8281;4,4446;0,270568382;2,5248;2,1033;431;86;757,5214489;1
E65925000;370687,3088;7092917,5691;-3,9404002573;0,9294365748;1660;459,16;0,397410307;6,0725040204;1510,9214;169,847505526;0,9104513532;554;9,7707061819;0,4139726128;1096,792;3,71;279,1357318824;0,270637797;4,0392;4,1746;0,2676480745;2,3187;1,7071;990;163;1659,5300722211;1
E70100000;617385,7718;6861330,6788;-4,2182798842;0,950938364;533;321,95;0,3469071211;5,6159111137;472,7467;67,299909065;0,8867926113;714;7,9212179437;0,3695385804;1400,16;8,9;146,3115141162;0,3871183891;3,6124;4,1431;0,3129387148;2,3554;1,9904;289;62;533,0972472917;2
E70200000;568398,8255;6853960,3465;-4,2783941861;0,931930163;2820;346,53;0,3600035894;6,1002950583;2551,7544;218,931900456;0,9045725416;1031;12,8850593924;0,382140695;1213,489;8,57;365,597852968;0,2737434574;3,5115;4,2076;0,2652149874;2,6161;1,7976;1601;185;2820,9505402607;2
E70300000;592283,22;6892514,0926;-4,5479001241;1,1601829111;1170;332,08;0,2761633588;4,8758482368;992,7623;80,431611807;0,857286;782;14,3976885018;0,3393696537;1303,808;8,42;187,2255053017;0,4774062057;3,3538;4,6867;0,4151445934;2,7286;1,9612;561;58;1158,0292924962;2
E70500000;554749,8684;6884836,1388;-4,3537983234;1,127948359;550;337,07;0,2942902915;5,4027804291;516,7833;60,327810604;0,9394550068;404;9,1183219288;0,3962999413;1111,504;4,24;142,9843877546;0,4386859626;3,5519;4,0802;0,3381155226;2,0865;1,7926;311;73;550,0883983462;2
E71200000;620301,0329;6923966,098;-3,8096076669;0,7345247642;1010;324,56;0,4869009612;5,418381453;876,8089;114,165793083;0,8657195405;972;8,8713912117;0,363345754;1191,171;12,24;194,5756544831;0,3145451013;3,5999;4,6136;0,3361712688;4,024;3,1583;552;134;1012,809413436;2
E71250000;635265,1139;6920945,6515;-4,2408623783;0,8712693279;489;318,84;0,3710056106;4,9149763555;438,0168;53,213181401;0,8981957126;966;9,164326762;0,4080687015;1113,639;12,42;122,4718808156;0,4682693474;3,561;4,0549;0,4085609734;2,3061;2,5044;290;62;487,6629824043;2
E71300000;614414,4056;6935287,2513;-3,9812836175;0,7514593463;2000;333,88;0,4571982099;4,6783121744;1793,401;142,626581233;0,8995046905;978;13,9789162508;0,3776774028;1111,75;11,07;235,7117569301;0,3532576493;4,2779;4,1428;0,450942688;2,8981;2,4083;1132;155;1993,7650341942;2
E71350001;587672,8969;6957050,5403;-4,0282127022;0,8104377117;3230;321,79;0,4794611051;5,6118609234;3082,4658;224,443351379;0,926045383;989;14,8306180792;0,3743277694;1029,911;8,51;365,3380924339;0,2900556385;3,873;4,4375;0,3133905859;2,6526;2,163;1874;219;3328,6336247103;2
E71383000;560138,7546;6959647,3986;-4,2832762148;0,8734817143;4610;328,09;0,4896572861;6,2328408504;4456,7402;311,937407921;0,9443170281;998;15,1297599708;0,386266613;990,7339;7,25;483,1598587478;0,2485062689;3,5349;4,6983;0,2540549551;3,0934;1,9956;2706;296;4719,5381077627;2
E71498000;524389,1586;6976600,885;-4,1666273302;0,7255250727;3680;360,11;0,5061576439;5,7522583769;3389,3577;143,064411657;0,9224919831;688;25,6816658652;0,3848527596;1021,153;5,38;393,4330564389;0,4780803;3,4856;3,6395;0,2982792037;2,0079;1,6141;2089;151;3674,1324173699;2
E71550000;514635,092;6954032,1858;-4,2549927197;0,8601583822;10000;345,76;0,4546600358;6,8060368876;9424,7842;430,782653717;0,9309574315;1114;23,5008399357;0,3841460318;987,2938;6,3;772,7164428062;0,2635528081;3,955;4,1258;0,213064526;2,2808;1,6711;5748;411;10123,7541920886;2
