Estat;Longitude;Latitude;mu_ANO;sigma_ANO;Area;Prec-med_ANO;IEB_ANO;Coe-compa;Compr-rios;Compr-talv;Dens-dren;Difer-cota;Fator-form;Freq-1ordem;Elev-med;Decli-med;Perimetro;Raz-alonga;Raz-area;Raz-bifur;Raz-circu;Raz-compr;Raz-decliv;Num-rios;Diam-topo;Area-SIG;Reg_hid
E65094500;637734,9063;7094093,0912;-4,028505222;0,8433734947;960;1597,83;0,5227254016;5,3825916327;776,8423;75,026859515;0,9789445091;252;10,5768908494;0,4133320224;916,8617;4,3;171,093648119;0,4236680234;3,3823;3,5754;0,340656658;2,0361;1,7152;482;73;793,5509038619;1
E65095000;639543,6272;7099735,8159;-4,1193273588;0,7594546516;2610;1639;0,534028769;7,092032508;2354,5828;116,391412321;0,9631431914;737;21,004007769;0,4004604062;896,3566;4,94;395,6738338842;0,4793422117;3,9819;4,2359;0,1962267948;2,2425;1,7345;1418;135;2444,6861286302;1
E65135000;660965,3727;7130631,4005;-4,1300863139;0,7223123088;605;1596,02;0,5887428463;5,7800973747;578,1666;60,891492295;0,953494083;471;9,95814348;0,4287837823;918,6203;4,06;160,604501119;0,4563162557;4,7449;4,5591;0,2954128862;2,508;1,9416;376;79;606,3662169859;1
E65180000;571567,2141;7082906,7224;-4,2687614376;0,9884118779;772;1663,4;0,4091388097;6,039644141;711,0868;71,66839971;0,938701869;577;10,56981113;0,399988674;889,9819;6,58;187,5702153;0,433336049;3,8281;4,4446;0,270568382;2,5248;2,1033;431;86;757,5214489;1
E65925000;370687,3088;7092917,5691;-3,7496045468;0,8611136531;1660;2001,27;0,4505756736;6,0725040204;1510,9214;169,847505526;0,9104513532;554;9,7707061819;0,4139726128;1096,792;3,71;279,1357318824;0,270637797;4,0392;4,1746;0,2676480745;2,3187;1,7071;990;163;1659,5300722211;1
E70100000;617385,7718;6861330,6788;-3,9926632819;0,9649427658;533;1573,31;0,3302945853;5,6159111137;472,7467;67,299909065;0,8867926113;714;7,9212179437;0,3695385804;1400,16;8,9;146,3115141162;0,3871183891;3,6124;4,1431;0,3129387148;2,3554;1,9904;289;62;533,0972472917;2
E70200000;568398,8255;6853960,3465;-4,0387502686;0,9500655581;2820;1672,03;0,33670368;6,1002950583;2551,7544;218,931900456;0,9045725416;1031;12,8850593924;0,382140695;1213,489;8,57;365,597852968;0,2737434574;3,5115;4,2076;0,2652149874;2,6161;1,7976;1601;185;2820,9505402607;2
E70300000;592283,22;6892514,0926;-4,2045218788;1,1036721506;1170;1617,89;0,2818994379;4,8758482368;992,7623;80,431611807;0,857286;782;14,3976885018;0,3393696537;1303,808;8,42;187,2255053017;0,4774062057;3,3538;4,6867;0,4151445934;2,7286;1,9612;561;58;1158,0292924962;2
E70500000;554749,8684;6884836,1388;-4,0117111199;1,0961193233;550;1597,9;0,2946387876;5,4027804291;516,7833;60,327810604;0,9394550068;404;9,1183219288;0,3962999413;1111,504;4,24;142,9843877546;0,4386859626;3,5519;4,0802;0,3381155226;2,0865;1,7926;311;73;550,0883983462;2
E71200000;620301,0329;6923966,098;-3,6523743839;0,746606764;1010;1598,56;0,4822237034;5,418381453;876,8089;114,165793083;0,8657195405;972;8,8713912117;0,363345754;1191,171;12,24;194,5756544831;0,3145451013;3,5999;4,6136;0,3361712688;4,024;3,1583;552;134;1012,809413436;2
