Cdigo,ANUAL,DJF,MAM,JJA,SON,Latitude,Longitude,Cota
2653019,"1974,913334","514,110002","467,970002","420,326667","581,106664","7096599,58","280232,656",685
2653021,"2045,486666","549,213332","462,473333","433,256668","602,313335","7097934,64","251883,55",615
2653022,"2010,803335","535,996666","462,493335","427,206667","585,693334","7080819,69","296001,944",919
2653023,"2060,633329","536,573333","484,906665","435,786667","609,829998","7085491,27","278757,151",887
2748000,"1662,123596","592,465157","345,918784","345,385714","434,02537","7000707,26","706432,193",28
2748001,"1555,13548","562,531909","313,240739","339,199868","407,962964","6966014,58","702392,518",42
2748003,"1772,670004","635,036671","372,000001","380,893333","454,72","6957761,03","698769,473",218
2748016,"1914,364022","732,174713","405,096666","364,650115","494,531035","6954313,45","720317,649",34
2748017,"1893,709997","686,126665","432,573334","360,303331","484,459999","6905474,65","728592,682",5
2748018,"1732,346668","662,963332","363,336666","344,203336","403,336669","6912009,02","704286,566",430
2749000,"1589,889999","508,52","329,216667","357,829999","438,883332","7008325,29","659200,297",95
2749001,"1491,701951","470,418505","297,026781","341,530001","424,643332","7006719,14","647109,894",160
2749002,"1564,900003","479,293334","309,500001","392,796668","426,523335","6968631,04","637840,528",368
2749003,"1654,112875","539,606898","345,334484","348,963332","458,428162","7000633,4","599670,473",378
2749005,"1425,153335","435,683336","284,12","337,283333","396,263333","7008987,21","639888,197",284
2749006,"1550,046669","483,036668","321,919999","359,046668","433,373334","6984619,89","604849,816",356
2749007,"1556,593337","478,313335","295,813333","402,266667","429,100001","6931586,81","659416,475",828
2749012,"1854,413337","682,633335","407,716669","369,476667","445,616667","6901754,53","685391,643",320
2749013,"1510,57667","462,09","301,18","363,253335","424,426665","6980802,2","621836,321",342
2749015,"1710,496668","608,113331","354,780001","373,890001","450,236669","6967936,14","699731,113",94
2749016,"1557,103336","500,960001","319,67","354,93","423,660001","7008061,83","660547,429",92
2749017,"1503,946666","466,109999","304,010001","367,426667","405,78","6957123,47","642925,945",426
2749020,"1930,963331","718,076665","377,076666","404,213335","512,62","6937475,15","696657,816",842
2749027,"1945,231726","707,733334","416,072415","396,67931","473,82069","6911137,71","683840,797",442
2749033,"1451,374025","461,519083","293,270001","339,387815","401,997126","6969019,06","661608,905",388
2749034,"1546,183338","477,780002","312,700001","383,396669","421,82","6956173,83","669152,469",550
2749035,"1682,562414","482,759308","346,140002","428,117241","479,413793","6930679,77","604060,758",860
2749037,"1443,834714","427,933334","286,643334","375,774024","395,765518","6936796,08","661211,209",445
2749039,"1561,639285","477,242855","328,485716","362,182143","428,260714","6990046,61","635520,453",341
2750007,"1659,767013","453,171611","351,716895","429,815287","453,1","6911168,03","588694,134",1122
2750008,"1658,946666","455,153334","353,136667","402,333332","476,346664","6953979,95","513851,608",709
2750009,"1614,996665","451,26","342,63","389,759999","467,596666","6976885,68","524649,177",759
2750010,"1632,976664","462,063332","347,533332","395,106666","457,893334","6995443,2","552839,814",956
2750012,"1617,600002","472,856665","338,056667","389,903335","446,536668","6975244,82","555995,952",958
2750014,"1622,968596","527,248275","350,895813","351,444091","432,414286","7002417,93","595774,027",357
2750020,"1671,883335","468,840002","356,943334","404,626666","467,583333","6940318,34","541123,81",885
2751004,"1771,406206","507,046091","375,503448","404,376667","508,98","6994441,35","450440,571",526
2751006,"1785,489998","455,479998","391,469999","450,046666","506,940001","6935352,13","424331,302",578
2751007,"1882,559998","455,866666","418,466668","486,886666","550,943333","6908027,68","419883,908",641
2751011,"1990,366269","548,532144","449,20357","456,610978","564,410718","7007565,5","409532,752",737
2751012,"1749,326666","464,043334","384,623332","415,530001","507,806665","6975502,08","439827,68",504
2751015,"1909,372411","480,803447","419,727586","481,741381","564,041379","6938396,63","454939,381",759
2751017,"1944,063338","487,963334","422,790001","504,630002","568,476668",6902181,"455511,257",856
2752005,"1881,640312","494,150003","437,894154","444,56877","537,776925","6978334,64","401719,304",543
2752006,"2081,080002","519,446666","473,000001","534,816666","602,900001","6918258,6","371620,104",760
2752017,"1803,970226","440,176779","400,522414","457,031032","533,649998","6969639,93","356187,92",800
2753002,"1807,446667","453,95","417,153334","421,09","514,916666","6972501,97","262584,596",553
2753006,"1880,763335","502,053333","435,843337","429,906666","524,849999","7003841,67","285910,351",386
2753009,"1779,893341","454,900002","439,740001","391,860002","501,320001","6960287,46","210062,478",434
2753013,"1999,780004","527,140001","476,653336","441,846668","561,476668","7011309,72","248738,46",567
2753014,"1940,503333","477,513335","461,156666","460,633331","555,076666","6945568,54","295614,821",384
2753016,"1869,64575","472,993333","447,421494","427,587704","541,603335","6955122,86","235045,168",497
2848006,"1683,741151","608,171038","372,651723","349,584597","398,166665","6889435,75","704475,834",188
2848007,"1420,576526","420,919769","317,456436","342,439285","393,002907","6869503,87","725369,323",12
2849000,"1462,051742","502,675403","304,378817","323,490854","382,043334","6854862,39","685451,453",22
2849001,"1523,649998","558,413335","325,986667","309,736665","371,709998","6861848,31","667096,126",99
2849002,"1483,700459","548,383333","313,706897","307,93793","356,28954","6865345,27","678505,49",50
2849004,"1466,752414","436,043562","336,323334","350,068965","375,889885","6795813,8","636287,638",5
2849005,"1609,994367","542,39908","344,660807","348,862067","406,299999","6809827,91","633010,362",35
2849008,"1576,133331","604,390001","333,953332","309,879999","369,643332","6878265,68","677145,473",89
2849009,"1474,281263","443,589885","307,251724","366,358497","390,115639","6865083,54","635600,451",1286
2849019,"2014,838044","697,37667","433,803334","418,251722","517,427008","6809728,73","613384,951",117
2849020,"1430,450001","399,943333","330,640001","349,389999","388,213334","6833998,83","692323,002",16
2849021,"1557,270113","472,000002","309,90885","407,151149","417,623332","6903233,16","639887,777",893
2849022,"1478,085238","435,614285","338,985712","359,079524","380,278573","6821660,11","665710,383",49
